symbol,fiscalDateEnding,reportedCurrency,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,grossProfit,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,operatingIncome,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
BABA,2026-03-31,None,35148788000,23395506000,23395506000,11753282000,None,2737758000,11888748000,-135465000,None,None,None,323644000,None,None,None,2012917000,4429631000,1035487000,None,None,None,-135465000,1877452000,3688615000
BABA,2025-12-31,CNY,280911577000,168023472000,168023472000,112888105000,8355000000,15266344000,94447189000,18440915000,None,13664000000,16221000000,2521708000,None,None,None,11342262000,23758494000,8343234000,None,15631000000,None,18440915000,29783177000,16156881000
BABA,2025-09-30,CNY,247795000000,150781000000,150781000000,97014000000,7380000000,17095000000,91649000000,5365000000,None,17575000000,20092000000,2517000000,None,None,None,826000000,26162000000,5550000000,None,20612000000,None,26438000000,27264000000,21019000000
BABA,2025-06-30,CNY,247652000000,136429000000,136429000000,111223000000,7398000000,15001000000,76235000000,34988000000,None,14898000000,17376000000,2478000000,None,None,None,807000000,51247000000,8865000000,None,42382000000,None,52712000000,53519000000,40649000000
BABA,2025-03-31,CNY,236454000000,145626000000,145626000000,90828000000,10331000000,14934000000,62363000000,28465000000,None,-10012000000,7516000000,2496000000,None,None,None,833000000,18827000000,6854000000,None,11973000000,None,20969000000,21802000000,12559000000
BABA,2024-12-31,CNY,280154000000,162524000000,162524000000,117630000000,10851000000,14662000000,76425000000,41205000000,None,8661000000,11146000000,2485000000,None,None,None,2062000000,57583000000,11149000000,None,46434000000,None,56939000000,59001000000,49127000000
BABA,2024-09-30,CNY,236503000000,144029000000,144029000000,92474000000,9777000000,14182000000,57228000000,35246000000,None,14702000000,18607000000,2427000000,None,None,None,1649000000,50926000000,7379000000,None,43547000000,None,52375000000,54024000000,44033000000
BABA,2024-06-30,CNY,243236000000,146106000000,146106000000,97130000000,13280000000,13373000000,61141000000,35989000000,None,-2188000000,None,3666000000,None,None,None,1792000000,34085000000,10063000000,None,24022000000,None,34768000000,36560000000,24390000000
BABA,2024-03-31,CNY,221874000000,148098000000,148098000000,73776000000,14019000000,14085000000,59011000000,14765000000,None,-7879000000,None,7879000000,None,None,None,2081000000,6641000000,5722000000,None,919000000,None,17728000000,19809000000,3365000000
BABA,2023-12-31,CNY,260348000000,156214000000,156214000000,104134000000,11261000000,13488000000,81623000000,22511000000,None,-5632000000,None,5632000000,None,None,None,14601000000,15705000000,4988000000,None,10717000000,None,22950000000,37551000000,14555000000
BABA,2023-09-30,CNY,224790000000,139664000000,139664000000,85126000000,9408000000,14218000000,51542000000,33584000000,None,3282000000,5136000000,1854000000,None,None,None,2431000000,32493000000,5797000000,None,26696000000,None,40111000000,42542000000,27847000000
