symbol,fiscalDateEnding,reportedCurrency,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,grossProfit,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,operatingIncome,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
COST,2026-02-28,USD,69597000000,60719000000,60719000000,8878000000,6272000000,None,6272000000,2606000000,None,119000000,152000000,33000000,None,None,None,597000000,2721000000,686000000,None,2035000000,None,2761000000,3358000000,2035000000
COST,2025-11-30,USD,67307000000,58510000000,58510000000,8797000000,6334000000,None,6334000000,2463000000,None,95000000,120000000,35000000,None,None,None,597000000,2583000000,582000000,None,2001000000,None,2618000000,3215000000,2001000000
COST,2025-08-31,USD,86156000000,75037000000,75037000000,11119000000,7778000000,None,7778000000,3341000000,None,134000000,180000000,46000000,None,None,None,774000000,3510000000,900000000,None,2610000000,None,3556000000,4330000000,2610000000
COST,2025-05-31,USD,63205000000,54996000000,54996000000,8209000000,5679000000,None,5679000000,2530000000,None,67000000,95000000,35000000,None,None,None,552000000,2580000000,677000000,None,1903000000,None,2615000000,3167000000,1903000000
COST,2025-02-28,USD,63723000000,55744000000,55744000000,7979000000,5663000000,None,5663000000,2316000000,None,83000000,119000000,36000000,None,None,None,552000000,2422000000,634000000,None,1788000000,None,2458000000,3010000000,1788000000
COST,2024-11-30,USD,62151000000,54109000000,54109000000,8042000000,5846000000,None,5846000000,2196000000,None,67000000,104000000,37000000,None,None,None,548000000,2306000000,508000000,None,1798000000,None,2343000000,2891000000,1798000000
COST,2024-08-31,USD,79697000000,69588000000,69588000000,10109000000,7067000000,None,7067000000,3042000000,None,99000000,148000000,49000000,None,None,None,706000000,3113000000,759000000,None,2354000000,None,3162000000,3868000000,2354000000
COST,2024-05-31,USD,58515000000,51173000000,51173000000,7342000000,5145000000,None,5145000000,2197000000,None,67000000,108000000,41000000,None,None,None,516000000,2284000000,603000000,None,1681000000,None,2325000000,2841000000,1681000000
COST,2024-02-29,USD,58442000000,51140000000,51140000000,7302000000,5240000000,None,5240000000,2062000000,None,144000000,185000000,41000000,None,None,None,514000000,2237000000,494000000,None,1743000000,None,2278000000,2792000000,1743000000
COST,2023-11-30,USD,57799000000,50457000000,50457000000,7342000000,5358000000,None,5358000000,1984000000,None,122000000,160000000,38000000,None,None,None,501000000,2106000000,517000000,None,1589000000,None,2144000000,2645000000,1589000000
COST,2023-08-31,USD,78939000000,69219000000,69219000000,9720000000,6939000000,None,6939000000,2781000000,None,185000000,264000000,56000000,None,None,None,688000000,2963000000,803000000,None,2160000000,None,3019000000,3707000000,2160000000
COST,2023-05-31,USD,53648000000,47175000000,47175000000,6473000000,4794000000,None,4794000000,1679000000,None,92000000,128000000,36000000,None,128000000,None,472000000,1771000000,469000000,None,1302000000,None,1807000000,2279000000,1302000000
COST,2023-02-28,USD,55266000000,48423000000,48423000000,6843000000,4940000000,None,4940000000,1903000000,None,80000000,80000000,34000000,None,114000000,None,470000000,1983000000,517000000,None,1466000000,None,2017000000,2487000000,1466000000
COST,2022-11-30,USD,54437000000,47769000000,47769000000,6668000000,4917000000,None,4917000000,1751000000,None,19000000,19000000,34000000,None,53000000,None,447000000,1770000000,406000000,None,1364000000,None,1804000000,2251000000,1364000000
COST,2022-08-31,USD,72091000000,63558000000,63558000000,8533000000,6036000000,None,6036000000,2497000000,None,19000000,67000000,48000000,None,None,None,594000000,2516000000,638000000,None,1878000000,None,2564000000,3158000000,1868000000
COST,2022-05-31,USD,52596000000,46355000000,46355000000,6241000000,4450000000,None,4450000000,1791000000,None,-29000000,6000000,35000000,None,71000000,None,431000000,1827000000,455000000,None,1372000000,None,1862000000,2293000000,1353000000
COST,2022-02-28,USD,51904000000,45517000000,45517000000,6387000000,4575000000,None,4575000000,1812000000,None,-30000000,11000000,36000000,None,25000000,None,436000000,1801000000,481000000,None,1320000000,None,1837000000,2273000000,1299000000
COST,2021-11-30,USD,50363000000,43952000000,43952000000,6411000000,4718000000,None,4718000000,1693000000,None,-23000000,5000000,39000000,None,None,None,432000000,1696000000,351000000,None,1345000000,None,1735000000,2167000000,1324000000
COST,2021-08-31,USD,62675000000,54733000000,54733000000,7942000000,5583000000,None,5667000000,2275000000,None,-40000000,3000000,52000000,None,None,None,559000000,2291000000,597000000,None,1694000000,None,2343000000,2902000000,1670000000
COST,2021-05-31,USD,45277000000,39415000000,39415000000,5862000000,4142000000,None,4199000000,1663000000,None,-32000000,26000000,40000000,None,None,None,402000000,1650000000,417000000,None,1233000000,None,1690000000,2092000000,1220000000
COST,2021-02-28,USD,44769000000,39078000000,39078000000,5691000000,4105000000,None,4351000000,1340000000,None,-29000000,30000000,40000000,None,None,None,416000000,1319000000,348000000,None,971000000,None,1359000000,1775000000,951000000
COST,2020-11-30,USD,43208000000,37458000000,37458000000,5750000000,None,None,4320000000,1430000000,None,None,None,39000000,None,None,None,404000000,1420000000,239000000,None,None,None,1459000000,1863000000,1166000000
COST,2020-08-31,USD,53383000000,46401000000,46401000000,6982000000,None,None,5053000000,1929000000,None,None,None,51000000,None,None,None,505000000,1869000000,465000000,None,None,None,1924000000,2429000000,1389000000
COST,2020-05-31,USD,37266000000,32249000000,32249000000,5017000000,None,None,3838000000,1179000000,None,None,None,37000000,None,None,None,382000000,1163000000,311000000,None,None,None,1200000000,1582000000,838000000
COST,2020-02-29,USD,39072000000,34056000000,34056000000,5016000000,None,None,3750000000,1266000000,None,None,None,34000000,None,None,None,389000000,1277000000,330000000,None,None,None,1311000000,1700000000,931000000
COST,2019-11-30,USD,37040000000,32233000000,32233000000,4807000000,None,None,3746000000,1061000000,None,None,None,38000000,None,None,None,369000000,1058000000,202000000,None,None,None,1096000000,1465000000,844000000
COST,2019-08-31,USD,47498000000,41310000000,41310000000,6188000000,None,None,4725000000,1463000000,None,None,None,45000000,None,None,None,473000000,1492000000,382000000,None,None,None,1537000000,2010000000,1097000000
COST,2019-05-31,USD,34740000000,30233000000,30233000000,4507000000,None,None,3385000000,1122000000,None,None,None,35000000,None,None,None,336000000,1123000000,207000000,None,None,None,1158000000,1494000000,906000000
COST,2019-02-28,USD,35396000000,30720000000,30720000000,4676000000,None,None,3473000000,1203000000,None,None,None,34000000,None,None,None,352000000,1215000000,314000000,None,None,None,1249000000,1601000000,889000000
COST,2018-11-30,USD,35069000000,30623000000,30623000000,4446000000,None,None,3497000000,949000000,None,None,None,36000000,None,None,None,331000000,935000000,158000000,None,None,None,971000000,1302000000,767000000
COST,2018-08-31,USD,44411000000,38671000000,38671000000,5740000000,None,None,4294000000,1446000000,None,None,None,48000000,None,None,None,431000000,1449000000,396000000,None,None,None,1497000000,1928000000,1043000000
COST,2018-05-31,USD,32361000000,28131000000,28131000000,4230000000,None,None,3163000000,1067000000,None,None,None,37000000,None,None,None,327000000,1071000000,309000000,None,None,None,1108000000,1435000000,750000000
COST,2018-02-28,USD,32995000000,28733000000,28733000000,4262000000,None,None,3246000000,1016000000,None,None,None,37000000,None,None,None,344000000,986000000,273000000,None,None,None,1023000000,1367000000,701000000
COST,2017-11-30,USD,31809000000,27617000000,27617000000,4192000000,None,None,3241000000,951000000,None,None,None,37000000,None,None,None,335000000,936000000,285000000,None,None,None,973000000,1308000000,640000000
COST,2017-08-31,USD,42300000000,36697000000,36697000000,5603000000,None,None,4153000000,1450000000,None,None,None,53000000,None,None,None,441000000,1419000000,487000000,None,None,None,1472000000,1913000000,919000000
COST,2017-05-31,USD,28860000000,24970000000,24970000000,3890000000,None,None,2922000000,968000000,None,None,None,21000000,None,None,None,320000000,965000000,259000000,None,None,None,986000000,1306000000,700000000
COST,2017-02-28,USD,29766000000,25927000000,25927000000,3839000000,None,None,2995000000,844000000,None,None,None,31000000,None,None,None,312000000,809000000,288000000,None,None,None,840000000,1152000000,515000000
COST,2016-11-30,USD,28099000000,24288000000,24288000000,3811000000,None,None,2962000000,849000000,None,None,None,29000000,None,None,None,297000000,846000000,291000000,None,None,None,875000000,1172000000,545000000
COST,2016-08-31,USD,36560000000,31649000000,31649000000,4911000000,None,None,3720000000,1191000000,None,None,None,39000000,None,None,None,408000000,1181000000,396000000,None,None,None,1220000000,1628000000,779000000
COST,2016-05-31,USD,26769000000,23162000000,23162000000,3607000000,None,None,2749000000,858000000,None,None,None,30000000,None,None,None,291000000,835000000,286000000,None,None,None,865000000,1156000000,545000000
COST,2016-02-29,USD,28170000000,24469000000,24469000000,3701000000,None,None,2845000000,856000000,None,None,None,31000000,None,None,None,285000000,841000000,286000000,None,None,None,872000000,1157000000,546000000
COST,2015-11-30,USD,27220000000,23621000000,23621000000,3599000000,None,None,2832000000,767000000,None,None,None,33000000,None,None,None,271000000,762000000,275000000,None,None,None,795000000,1066000000,480000000
COST,2015-08-31,USD,35778000000,31096000000,31096000000,4682000000,None,None,3526000000,1156000000,None,None,None,40000000,None,None,None,351000000,1156000000,378000000,None,None,None,1196000000,1547000000,767000000
COST,2015-05-31,USD,26101000000,22687000000,22687000000,3414000000,None,None,2593000000,821000000,None,None,None,31000000,None,None,None,776000000,799000000,280000000,None,None,None,830000000,1606000000,516000000
COST,2015-02-28,USD,27454000000,23897000000,23897000000,3557000000,None,None,2680000000,877000000,None,None,None,27000000,None,None,None,260000000,870000000,263000000,None,None,None,897000000,1157000000,598000000
COST,2014-11-30,USD,26866000000,23385000000,23385000000,3481000000,None,None,2711000000,770000000,None,None,None,26000000,None,None,None,254000000,779000000,274000000,None,None,None,805000000,1059000000,496000000
