symbol,fiscalDateEnding,reportedCurrency,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,grossProfit,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,operatingIncome,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
GOOG,2026-03-31,USD,109896000000,41271000000,41271000000,68625000000,4291000000,17032000000,28929000000,39696000000,None,848000000,1381000000,533000000,None,None,None,6482000000,77412000000,14834000000,None,62578000000,None,77945000000,84427000000,62578000000
GOOG,2025-12-31,USD,113896000000,45766000000,45766000000,68130000000,5341000000,18572000000,32128000000,36002000000,None,911000000,1209000000,438000000,None,None,None,6040000000,39117000000,4662000000,None,34455000000,None,39415000000,45455000000,34455000000
GOOG,2025-09-30,USD,102346000000,41369000000,41369000000,60977000000,7393000000,15151000000,29749000000,31228000000,None,933000000,1076000000,143000000,None,None,None,5611000000,43987000000,9008000000,None,34979000000,None,44130000000,49741000000,34979000000
GOOG,2025-06-30,USD,96428000000,39039000000,39039000000,57389000000,5209000000,13808000000,26118000000,31271000000,None,789000000,1050000000,261000000,None,None,None,4998000000,33933000000,5737000000,None,28196000000,None,34194000000,39192000000,28196000000
GOOG,2025-03-31,USD,90234000000,36361000000,36361000000,53873000000,3539000000,13556000000,23267000000,30606000000,None,967000000,1001000000,34000000,None,None,None,4487000000,41789000000,7249000000,None,34540000000,None,41823000000,46310000000,34540000000
GOOG,2024-12-31,USD,96469000000,40613000000,40613000000,55856000000,4405000000,13116000000,24884000000,30972000000,None,1035000000,1088000000,53000000,None,None,None,4205000000,32243000000,5707000000,None,26536000000,None,32296000000,36501000000,26536000000
GOOG,2024-09-30,USD,88268000000,36474000000,36474000000,51794000000,3599000000,12447000000,23273000000,28521000000,None,1189000000,1243000000,54000000,None,None,None,3985000000,31706000000,5405000000,None,26301000000,None,31760000000,35745000000,26301000000
GOOG,2024-06-30,USD,84742000000,35507000000,35507000000,49235000000,3158000000,11860000000,21810000000,27425000000,None,1023000000,1090000000,67000000,None,None,None,3708000000,27551000000,3932000000,None,23619000000,None,27618000000,31326000000,23619000000
GOOG,2024-03-31,USD,80539000000,33712000000,33712000000,47063000000,3026000000,11315000000,21355000000,25472000000,None,967000000,1061000000,94000000,None,None,None,3413000000,28315000000,4653000000,None,23662000000,None,25472000000,28885000000,23662000000
GOOG,2023-12-31,USD,86310000000,37575000000,37575000000,48735000000,5206000000,12113000000,25038000000,23697000000,None,1041000000,1110000000,69000000,None,None,None,1563000000,24412000000,3725000000,None,20687000000,None,23697000000,25260000000,20687000000
