symbol,fiscalDateEnding,reportedCurrency,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,grossProfit,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,operatingIncome,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
HD,2026-01-31,USD,38198000000,25732000000,25732000000,12466000000,7772000000,None,8617000000,3849000000,None,-551000000,43000000,594000000,None,None,None,845000000,3298000000,727000000,None,2571000000,None,3892000000,4737000000,2571000000
HD,2025-10-31,USD,41352000000,27537000000,27537000000,13815000000,7636000000,None,8462000000,5353000000,None,-596000000,32000000,628000000,None,None,None,826000000,4757000000,1156000000,None,3601000000,None,5385000000,6211000000,3601000000
HD,2025-07-31,USD,45277000000,30152000000,30152000000,15125000000,7764000000,None,8570000000,6555000000,None,-550000000,25000000,575000000,None,None,None,608000000,6005000000,1454000000,None,4551000000,None,6580000000,7188000000,4551000000
HD,2025-04-30,USD,39856000000,26397000000,26397000000,13459000000,7530000000,None,8326000000,5133000000,None,-591000000,24000000,615000000,None,None,None,994000000,4542000000,1109000000,None,3433000000,None,5157000000,6151000000,3433000000
HD,2025-01-31,USD,39704000000,26670000000,26670000000,13034000000,7725000000,None,8539000000,4495000000,None,-608000000,30000000,638000000,None,None,None,1009000000,3887000000,890000000,None,2997000000,None,4525000000,5534000000,2997000000
HD,2024-10-31,USD,40217000000,26792000000,26792000000,13425000000,7212000000,None,8007000000,5418000000,None,-595000000,30000000,625000000,None,None,None,995000000,4823000000,1175000000,None,3648000000,None,5418000000,6413000000,3648000000
HD,2024-07-31,USD,43175000000,28759000000,28759000000,14416000000,7144000000,None,7882000000,6534000000,None,-489000000,84000000,573000000,None,None,None,920000000,6045000000,1484000000,None,4561000000,None,6618000000,7538000000,4561000000
HD,2024-04-30,USD,36418000000,23985000000,23985000000,12433000000,6667000000,None,7354000000,5079000000,None,-428000000,57000000,485000000,None,None,None,837000000,4651000000,1051000000,None,3600000000,None,5136000000,5973000000,3600000000
HD,2024-01-31,USD,34786000000,23278000000,23278000000,11508000000,5579000000,None,7365000000,4143000000,None,-458000000,55000000,513000000,None,None,None,832000000,3685000000,884000000,None,2801000000,None,4198000000,5030000000,2801000000
HD,2023-10-31,USD,37710000000,24972000000,24972000000,12738000000,6649000000,None,7332000000,5406000000,None,-438000000,438000000,487000000,None,None,None,827000000,4968000000,1158000000,None,3810000000,None,5455000000,6282000000,3810000000
HD,2023-07-31,USD,42916000000,28759000000,28759000000,14157000000,6915000000,None,7568000000,6589000000,None,-428000000,428000000,469000000,None,41000000,None,795000000,6161000000,1502000000,None,4659000000,None,6630000000,7425000000,4659000000
HD,2023-04-30,USD,37257000000,24700000000,24700000000,12557000000,6355000000,None,7006000000,5551000000,None,-441000000,441000000,474000000,None,33000000,None,793000000,5110000000,1237000000,None,3873000000,None,5584000000,6377000000,3873000000
HD,2023-01-31,USD,35831000000,23905000000,23905000000,11926000000,6549000000,None,7174000000,4752000000,None,-408000000,43000000,451000000,None,43000000,None,759000000,4344000000,982000000,None,3362000000,None,4795000000,5554000000,3362000000
HD,2022-10-31,USD,38872000000,25648000000,25648000000,13224000000,6468000000,None,7076000000,6148000000,None,-406000000,406000000,413000000,None,7000000,None,743000000,5742000000,1403000000,None,4339000000,None,6155000000,6898000000,4339000000
HD,2022-07-31,USD,43792000000,29309000000,29309000000,14483000000,6657000000,None,7273000000,7210000000,None,-379000000,2000000,381000000,None,2000000,None,746000000,6831000000,1658000000,None,5173000000,None,7212000000,7958000000,5173000000
HD,2022-04-30,USD,38908000000,25763000000,25763000000,13145000000,6610000000,None,7216000000,5929000000,None,-369000000,3000000,372000000,None,3000000,None,727000000,5560000000,1329000000,None,4231000000,None,5932000000,6659000000,4231000000
HD,2022-01-31,USD,35719000000,23857000000,23857000000,11862000000,5387000000,None,7037000000,4825000000,None,-323000000,18000000,341000000,None,None,None,734000000,4502000000,1150000000,None,3352000000,None,4843000000,5577000000,3352000000
HD,2021-10-31,USD,36820000000,24257000000,24257000000,12563000000,6168000000,None,6768000000,5795000000,None,-326000000,15000000,341000000,None,None,None,714000000,5469000000,1340000000,None,4129000000,None,5810000000,6524000000,4129000000
HD,2021-07-31,USD,41118000000,27453000000,27453000000,13665000000,6433000000,None,7026000000,6639000000,None,-321000000,5000000,326000000,None,None,None,711000000,6318000000,1511000000,None,4807000000,None,6644000000,7355000000,4807000000
HD,2021-04-30,USD,37500000000,24758000000,24758000000,12742000000,6374000000,None,6961000000,5781000000,None,-333000000,6000000,339000000,None,None,None,703000000,5448000000,1303000000,None,4145000000,None,5787000000,6490000000,4145000000
HD,2021-01-31,USD,32261000000,21430000000,21430000000,10831000000,5278000000,None,6748000000,4083000000,None,-333000000,6000000,337000000,None,None,None,666000000,3756000000,899000000,None,4145000000,None,4093000000,4759000000,2857000000
HD,2020-10-31,USD,33536000000,22080000000,22080000000,11456000000,6076000000,None,6604000000,4852000000,None,-327000000,329000000,340000000,None,11000000,None,631000000,4523000000,1091000000,None,3432000000,None,4863000000,5494000000,3432000000
HD,2020-07-31,USD,38053000000,25112000000,25112000000,12941000000,5876000000,None,6874000000,6067000000,None,-307000000,17000000,346000000,None,17000000,None,615000000,5730000000,1398000000,None,2245000000,None,6076000000,6691000000,4332000000
HD,2020-04-30,USD,28260000000,18635000000,18635000000,9625000000,4981000000,None,6349000000,3276000000,None,None,None,324000000,None,None,None,607000000,2969000000,724000000,None,None,None,3293000000,3900000000,2245000000
HD,2020-01-31,USD,25782000000,17046000000,17046000000,8736000000,3910000000,None,5333000000,3403000000,None,-307000000,292000000,309000000,None,None,None,595000000,3111000000,630000000,None,2245000000,None,3420000000,4015000000,2481000000
HD,2019-10-31,USD,27223000000,17836000000,17836000000,9387000000,4942000000,None,5440000000,3947000000,None,-292000000,280000000,302000000,None,19000000,None,594000000,3667000000,898000000,None,2481000000,None,3969000000,4563000000,2769000000
HD,2019-07-31,USD,30839000000,20407000000,20407000000,10432000000,5044000000,None,5536000000,4896000000,None,-283000000,19000000,302000000,None,15000000,None,560000000,4613000000,1134000000,None,2513000000,None,4915000000,5475000000,3479000000
HD,2019-04-30,USD,26381000000,17364000000,17364000000,9017000000,4940000000,None,5420000000,3597000000,None,None,None,288000000,None,None,None,547000000,3324000000,811000000,None,None,None,3612000000,4159000000,2513000000
HD,2019-01-31,USD,26491000000,17464000000,17464000000,9027000000,4001000000,None,5649000000,3378000000,None,None,None,269000000,None,4000000,None,549000000,3113000000,769000000,None,2344000000,None,3382000000,3931000000,2344000000
HD,2018-10-31,USD,26302000000,17151000000,17151000000,9151000000,4808000000,0,5281000000,3870000000,None,None,None,249000000,None,4000000,None,541000000,3646000000,779000000,None,2344000000,None,3895000000,4436000000,2867000000
HD,2018-07-31,USD,30463000000,20098000000,20098000000,10365000000,5004000000,0,5464000000,4901000000,None,None,None,272000000,None,26000000,None,530000000,4655000000,1149000000,None,3506000000,None,4927000000,5457000000,3506000000
HD,2018-04-30,USD,24947000000,16330000000,16330000000,8617000000,4779000000,None,5236000000,3381000000,None,None,None,261000000,None,None,None,532000000,3142000000,738000000,None,None,None,3403000000,3935000000,2404000000
HD,2018-01-31,USD,23883000000,15790000000,15790000000,8093000000,3473000000,0,4904000000,3189000000,None,None,None,269000000,None,22000000,None,529000000,2943000000,1164000000,None,2404000000,None,3212000000,3741000000,1779000000
HD,2017-10-31,USD,25026000000,16378000000,16378000000,8648000000,4514000000,0,4968000000,3680000000,None,None,None,269000000,None,23000000,None,518000000,3433000000,1268000000,None,1779000000,None,3702000000,4220000000,2165000000
HD,2017-07-31,USD,28108000000,18647000000,18647000000,9461000000,4549000000,0,4998000000,4463000000,None,None,None,265000000,None,16000000,None,510000000,4214000000,1542000000,None,2672000000,None,4479000000,4989000000,2672000000
HD,2017-04-30,USD,23887000000,15733000000,15733000000,8154000000,None,None,4805000000,3349000000,None,None,None,254000000,None,None,None,505000000,3108000000,1094000000,None,None,None,3362000000,3867000000,2014000000
HD,2017-01-31,USD,22207000000,14654000000,14654000000,7553000000,3394000000,0,4626000000,2927000000,None,None,None,246000000,None,13000000,None,499000000,2692000000,948000000,None,2014000000,None,2938000000,3437000000,1744000000
HD,2016-10-31,USD,23154000000,15112000000,15112000000,8042000000,4280000000,0,4722000000,3320000000,None,None,None,246000000,None,11000000,None,496000000,3084000000,1115000000,None,1744000000,None,3330000000,3826000000,1969000000
HD,2016-07-31,USD,26472000000,17545000000,17545000000,8927000000,4281000000,0,4824000000,4103000000,None,None,None,236000000,None,8000000,None,492000000,3875000000,1434000000,None,2441000000,None,4103000000,4595000000,2441000000
HD,2016-04-30,USD,22762000000,14971000000,14971000000,7791000000,4281000000,None,4714000000,3077000000,None,None,None,244000000,None,None,None,486000000,2840000000,1037000000,None,None,None,3077000000,3563000000,1803000000
HD,2016-01-31,USD,20980000000,13824000000,13824000000,7156000000,12623000000,0,4607000000,2549000000,None,None,None,242000000,None,6000000,None,479000000,2313000000,842000000,None,1471000000,None,2555000000,3034000000,1471000000
HD,2015-10-31,USD,21819000000,14254000000,14254000000,7565000000,4161000000,0,4584000000,2981000000,None,None,None,247000000,None,7000000,None,469000000,2741000000,1016000000,None,1725000000,None,2981000000,3450000000,1725000000
HD,2015-07-31,USD,24829000000,16464000000,16464000000,8365000000,4299000000,0,4718000000,3647000000,None,None,None,233000000,None,4000000,None,461000000,3563000000,1329000000,None,1579000000,None,3647000000,4108000000,2234000000
HD,2015-04-30,USD,20891000000,13712000000,13712000000,7179000000,4163000000,None,4582000000,2597000000,None,None,None,197000000,None,None,None,454000000,2404000000,825000000,None,None,None,2588000000,3042000000,1579000000
HD,2015-01-31,USD,19162000000,12439000000,12439000000,6723000000,3571000000,0,4532000000,2191000000,None,None,None,213000000,None,115000000,None,441000000,2093000000,714000000,None,1379000000,None,2161000000,2602000000,1379000000
HD,2014-10-31,USD,20516000000,13331000000,13331000000,7185000000,4217000000,0,4632000000,2553000000,None,None,None,218000000,None,105000000,None,449000000,2440000000,903000000,None,1537000000,None,2553000000,3002000000,1537000000
HD,2014-07-31,USD,23811000000,15650000000,15650000000,8161000000,4146000000,0,4713000000,3448000000,None,None,None,208000000,None,100000000,None,449000000,3257000000,1207000000,None,1379000000,None,3448000000,3897000000,2050000000
HD,2014-04-30,USD,19687000000,12802000000,12802000000,6885000000,4067000000,None,4608000000,2277000000,None,None,None,191000000,None,None,None,447000000,2186000000,807000000,None,None,None,2277000000,2724000000,1379000000
HD,2014-01-31,USD,17696000000,11504000000,11504000000,6192000000,4024000000,0,4431000000,1761000000,None,None,None,182000000,None,4000000,None,440000000,1583000000,570000000,None,1013000000,None,1761000000,2201000000,1013000000
HD,2013-10-31,USD,19470000000,12672000000,12672000000,6798000000,4096000000,0,4505000000,2293000000,None,None,None,191000000,None,3000000,None,440000000,2105000000,754000000,None,1351000000,None,2293000000,2733000000,1351000000
HD,2013-07-31,USD,22522000000,14801000000,14801000000,7721000000,4294000000,0,4703000000,3018000000,None,None,None,174000000,None,3000000,None,442000000,2846000000,1051000000,None,1226000000,None,3020000000,3462000000,1795000000
HD,2013-04-30,USD,19124000000,12445000000,12445000000,6679000000,4183000000,None,4585000000,2094000000,None,None,None,164000000,None,None,None,435000000,1933000000,707000000,None,None,None,2097000000,2532000000,1226000000
HD,2013-01-31,USD,18246000000,11880000000,11880000000,6366000000,4217000000,0,4616000000,1750000000,None,None,None,166000000,None,6000000,None,427000000,1590000000,569000000,None,1021000000,None,1756000000,2183000000,1021000000
HD,2012-10-31,USD,18130000000,11863000000,11863000000,6267000000,4139000000,0,4534000000,1733000000,None,None,None,155000000,None,5000000,None,424000000,1583000000,636000000,None,947000000,None,1738000000,2162000000,947000000
HD,2012-07-31,USD,20570000000,13544000000,13544000000,7026000000,4066000000,0,4457000000,2569000000,None,None,None,155000000,None,4000000,None,423000000,2418000000,886000000,None,1532000000,None,2573000000,2996000000,1532000000
HD,2012-04-30,USD,17808000000,11625000000,11625000000,6183000000,4086000000,None,4469000000,1714000000,None,None,None,156000000,None,None,None,410000000,1630000000,595000000,None,None,None,1786000000,2196000000,1035000000
HD,2012-01-31,USD,16014000000,10417000000,10417000000,5597000000,3877000000,0,4267000000,1330000000,None,None,None,154000000,None,72000000,None,417000000,1180000000,406000000,None,1035000000,None,1334000000,1751000000,774000000
HD,2011-10-31,USD,17326000000,11365000000,11365000000,5961000000,3956000000,0,4346000000,1615000000,None,None,None,162000000,None,4000000,None,416000000,1457000000,523000000,None,774000000,None,1619000000,2035000000,934000000
HD,2011-07-31,USD,20232000000,13356000000,13356000000,6876000000,3956000000,0,4582000000,2294000000,None,None,None,149000000,None,4000000,None,425000000,2148000000,785000000,None,934000000,None,2297000000,2722000000,1363000000
HD,2011-04-30,USD,16823000000,10995000000,10995000000,5828000000,4009000000,0,4406000000,1422000000,None,None,None,141000000,None,3000000,None,424000000,1283000000,471000000,None,1363000000,None,1424000000,1848000000,812000000
HD,2011-01-31,USD,15126000000,9883000000,9883000000,5243000000,3807000000,None,4206000000,1037000000,None,None,None,91000000,None,None,None,426000000,950000000,363000000,None,None,None,1041000000,1467000000,587000000
HD,2010-10-31,USD,16598000000,10913000000,10913000000,5685000000,3807000000,0,4237000000,1448000000,None,None,None,146000000,None,4000000,None,426000000,1306000000,472000000,None,587000000,None,1452000000,1878000000,834000000
HD,2010-07-31,USD,19410000000,12828000000,12828000000,6582000000,4127000000,0,4533000000,2049000000,None,None,None,151000000,None,4000000,None,455000000,1901000000,709000000,None,834000000,None,2052000000,2507000000,1192000000
HD,2010-04-30,USD,16863000000,11069000000,11069000000,5794000000,4078000000,0,4489000000,1305000000,None,None,None,142000000,None,-47000000,None,411000000,1116000000,391000000,None,725000000,None,1258000000,1669000000,725000000
HD,2010-01-31,USD,14569000000,9556000000,9556000000,5013000000,11896000000,0,4286000000,727000000,None,None,None,161000000,None,None,None,442000000,406000000,105000000,None,0,None,567000000,1009000000,342000000
