symbol,fiscalDateEnding,reportedCurrency,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,grossProfit,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,operatingIncome,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
JNJ,2026-03-31,USD,24062000000,6859000000,6859000000,17203000000,6034000000,3527000000,10808000000,6395000000,None,-43000000,229000000,43000000,None,None,None,None,5990000000,755000000,None,5235000000,None,None,6395000000,5235000000
JNJ,2025-12-31,USD,24564000000,7968000000,7968000000,16596000000,6953000000,4252000000,11005000000,5591000000,None,23000000,237000000,214000000,None,None,None,2011000000,4966000000,-150000000,None,5116000000,None,5180000000,7191000000,5116000000
JNJ,2025-09-30,USD,23993000000,7303000000,7303000000,16690000000,5922000000,3672000000,9594000000,7096000000,None,-18000000,227000000,245000000,None,None,None,1777000000,7493000000,2341000000,None,5152000000,None,7511000000,9288000000,5152000000
JNJ,2025-06-30,USD,23743000000,7628000000,7628000000,16115000000,5789000000,3516000000,9305000000,6810000000,None,-48000000,260000000,308000000,None,None,None,1943000000,6491000000,954000000,None,5537000000,None,6799000000,8742000000,5537000000
JNJ,2025-03-31,USD,21893000000,7357000000,7357000000,14536000000,5012000000,3225000000,8237000000,6299000000,None,128000000,332000000,204000000,None,None,None,1772000000,13631000000,2632000000,None,10999000000,None,13835000000,15607000000,10999000000
JNJ,2024-12-31,USD,22520000000,7128000000,7128000000,15392000000,6253000000,5298000000,11551000000,3841000000,None,144000000,281000000,137000000,None,None,None,1896000000,3887000000,456000000,None,3431000000,None,4024000000,5920000000,3431000000
JNJ,2024-09-30,USD,22471000000,6963000000,6963000000,15508000000,5278000000,4952000000,10230000000,5278000000,None,99000000,292000000,193000000,None,None,None,1846000000,3338000000,644000000,None,2694000000,None,3531000000,5377000000,2694000000
JNJ,2024-06-30,USD,22447000000,6869000000,6869000000,15578000000,5481000000,3440000000,8921000000,6657000000,None,125000000,395000000,270000000,None,None,None,1782000000,5748000000,1062000000,None,4686000000,None,6018000000,7800000000,4686000000
JNJ,2024-03-31,USD,21383000000,6511000000,6511000000,14872000000,5057000000,3542000000,8599000000,6273000000,None,209000000,364000000,155000000,None,None,None,1815000000,3714000000,459000000,None,3255000000,None,3869000000,5684000000,3255000000
JNJ,2023-12-31,USD,21395000000,6798000000,6798000000,14597000000,5510000000,4480000000,9990000000,4607000000,None,212000000,363000000,151000000,None,None,None,1843000000,4826000000,694000000,None,4132000000,None,4977000000,6820000000,4049000000
JNJ,2023-09-30,USD,21351000000,6606000000,6606000000,14745000000,5100000000,3447000000,8547000000,6198000000,None,182000000,374000000,192000000,None,None,None,1829000000,5217000000,908000000,None,4309000000,None,5409000000,7238000000,26028000000
JNJ,2023-06-30,USD,21519000000,6462000000,6462000000,15057000000,4996000000,3703000000,8699000000,6358000000,None,23000000,369000000,217000000,None,None,None,1934000000,6306000000,930000000,None,5144000000,None,6523000000,8457000000,5144000000
JNJ,2023-03-31,USD,20894000000,6687000000,6687000000,14207000000,4506000000,3455000000,7961000000,6246000000,None,20000000,235000000,212000000,None,-6993000000,None,1880000000,-1287000000,-796000000,None,-68000000,None,-1075000000,805000000,-68000000
JNJ,2022-12-31,USD,23706000000,7765000000,7765000000,15941000000,7412000000,4624000000,12036000000,3905000000,None,77000000,254000000,177000000,None,-953000000,None,1772000000,4201000000,681000000,None,3520000000,None,4378000000,6150000000,3520000000
JNJ,2022-09-30,USD,23791000000,7807000000,7807000000,15984000000,6089000000,3597000000,9686000000,5822000000,None,99000000,150000000,99000000,None,-343000000,None,1685000000,5822000000,1364000000,None,4458000000,None,6298000000,7983000000,4458000000
JNJ,2022-06-30,USD,24020000000,7919000000,7919000000,16101000000,5926000000,3703000000,9629000000,6472000000,None,26000000,64000000,38000000,None,-209000000,None,1744000000,5840000000,1026000000,None,4814000000,None,5878000000,7622000000,4814000000
JNJ,2022-03-31,USD,23426000000,7598000000,7598000000,15828000000,5638000000,4072000000,9710000000,6118000000,None,12000000,22000000,10000000,None,124000000,None,1769000000,5862000000,713000000,None,5149000000,None,5872000000,7641000000,5149000000
JNJ,2021-12-31,USD,24804000000,7955000000,7955000000,16849000000,7654000000,4720000000,12374000000,4475000000,None,-47000000,13000000,60000000,None,4000000,None,1843000000,4836000000,100000000,None,4736000000,None,4896000000,6739000000,4736000000
JNJ,2021-09-30,USD,23338000000,7250000000,7250000000,16088000000,5800000000,3422000000,9222000000,6866000000,None,-7000000,13000000,20000000,None,-1837000000,None,1814000000,3849000000,182000000,None,3667000000,None,3869000000,5683000000,3667000000
JNJ,2021-06-30,USD,23312000000,7587000000,7587000000,15725000000,5973000000,3394000000,9367000000,6358000000,None,-28000000,12000000,40000000,None,500000000,None,1839000000,6662000000,384000000,None,6278000000,None,6702000000,8541000000,6278000000
JNJ,2021-03-31,USD,22321000000,7063000000,7063000000,15258000000,5232000000,3178000000,8410000000,6848000000,None,-48000000,15000000,63000000,None,897000000,None,1894000000,7429000000,1232000000,None,6197000000,None,7492000000,9386000000,6197000000
JNJ,2020-12-31,USD,22475000000,7814000000,7814000000,14661000000,6457000000,4032000000,10489000000,4172000000,None,-74000000,13000000,87000000,None,-2341000000,None,1940000000,1647000000,-91000000,None,1738000000,None,1734000000,3674000000,1738000000
JNJ,2020-09-30,USD,21082000000,6972000000,6972000000,14110000000,5331000000,2840000000,8171000000,5939000000,None,-32000000,12000000,44000000,None,-1188000000,None,1818000000,4401000000,847000000,None,3554000000,None,4445000000,6263000000,3554000000
JNJ,2020-06-30,USD,18336000000,6579000000,6579000000,11757000000,4893000000,2707000000,7600000000,4157000000,None,-26000000,19000000,45000000,None,-5000000,None,1726000000,3940000000,314000000,None,3626000000,None,3985000000,5711000000,3626000000
JNJ,2020-03-31,USD,20691000000,7062000000,7062000000,13629000000,5203000000,2580000000,7783000000,5846000000,None,42000000,67000000,25000000,None,746000000,None,1747000000,6509000000,713000000,None,5796000000,None,6534000000,8281000000,5796000000
JNJ,2019-12-31,USD,20747000000,7134000000,7134000000,13613000000,6039000000,3232000000,9271000000,4342000000,None,-4000000,81000000,85000000,None,65000000,None,1816000000,4218000000,208000000,None,4010000000,None,4303000000,6119000000,4010000000
JNJ,2019-09-30,USD,20729000000,6867000000,6867000000,13862000000,5374000000,2599000000,7973000000,5889000000,None,41000000,89000000,48000000,None,-4125000000,None,1727000000,1647000000,-106000000,None,1753000000,None,1695000000,3422000000,1753000000
JNJ,2019-06-30,USD,20562000000,6940000000,6940000000,13622000000,5546000000,2666000000,8212000000,5410000000,None,5000000,88000000,83000000,None,1771000000,None,1705000000,7041000000,1434000000,None,5607000000,None,7124000000,8829000000,5607000000
JNJ,2019-03-31,USD,20021000000,6615000000,6615000000,13406000000,5219000000,2858000000,8077000000,5329000000,None,-3000000,99000000,102000000,None,121000000,None,1761000000,4422000000,673000000,None,3749000000,None,4524000000,6285000000,3749000000
JNJ,2018-12-31,USD,20394000000,6961000000,6961000000,13433000000,5991000000,3224000000,9215000000,4218000000,None,None,None,250000000,None,-782000000,None,1735000000,3122000000,80000000,None,3042000000,None,3372000000,5107000000,3042000000
JNJ,2018-09-30,USD,20348000000,6589000000,6589000000,13759000000,5543000000,2508000000,8051000000,5708000000,None,None,None,243000000,None,172000000,None,1731000000,4423000000,489000000,None,3934000000,None,4666000000,6397000000,3934000000
JNJ,2018-06-30,USD,20830000000,6927000000,6927000000,13903000000,5743000000,2639000000,8382000000,5521000000,None,None,None,253000000,None,-238000000,None,1717000000,4973000000,1019000000,None,3954000000,None,5226000000,6943000000,3954000000
JNJ,2018-03-31,USD,20009000000,6614000000,6614000000,13395000000,5263000000,2404000000,7667000000,5728000000,None,None,None,259000000,None,54000000,None,1746000000,5481000000,1114000000,None,4367000000,None,5740000000,7486000000,4367000000
JNJ,2017-12-31,USD,20195000000,7243000000,7243000000,12952000000,6025000000,3635000000,9660000000,3292000000,None,None,None,274000000,None,94000000,None,1869000000,2560000000,13273000000,None,-10713000000,None,2834000000,4703000000,-10713000000
JNJ,2017-09-30,USD,19650000000,6925000000,6925000000,12725000000,5423000000,2585000000,8008000000,4717000000,None,None,None,229000000,None,310000000,None,1711000000,4790000000,1026000000,None,3764000000,None,5019000000,6730000000,3764000000
JNJ,2017-06-30,USD,18839000000,5846000000,5846000000,12993000000,5289000000,2296000000,7585000000,5408000000,None,None,None,227000000,None,-483000000,None,1150000000,4748000000,921000000,None,3827000000,None,4975000000,6125000000,3827000000
JNJ,2017-03-31,USD,17766000000,5409000000,5409000000,12357000000,4763000000,2070000000,6833000000,5524000000,None,None,None,204000000,None,281000000,None,912000000,5575000000,1153000000,None,4422000000,None,5779000000,6691000000,4422000000
JNJ,2016-12-31,USD,18106000000,5534000000,5534000000,12572000000,5309000000,2640000000,7949000000,4623000000,None,None,None,184000000,None,80000000,None,1055000000,4324000000,510000000,None,3979000000,None,4508000000,5563000000,3814000000
JNJ,2016-09-30,USD,17820000000,5486000000,5486000000,12334000000,4772000000,2178000000,6950000000,5384000000,None,None,None,192000000,None,151000000,None,908000000,5281000000,1009000000,None,4272000000,None,5473000000,6381000000,4272000000
JNJ,2016-06-30,USD,18482000000,5336000000,5336000000,13146000000,5176000000,2264000000,7440000000,5706000000,None,None,None,190000000,None,-469000000,None,900000000,4904000000,907000000,None,3997000000,None,5094000000,5994000000,3997000000
JNJ,2016-03-31,USD,17482000000,5329000000,5329000000,12153000000,4688000000,2013000000,6701000000,5452000000,None,None,None,160000000,None,122000000,None,891000000,5294000000,837000000,None,4292000000,None,5454000000,6345000000,4457000000
JNJ,2015-12-31,USD,17811000000,5673000000,5673000000,12138000000,5891000000,2864000000,8755000000,3383000000,None,None,None,160000000,None,1258000000,None,1033000000,3758000000,543000000,None,3215000000,None,3918000000,4951000000,3215000000
JNJ,2015-09-30,USD,17102000000,5224000000,5224000000,11878000000,5081000000,2154000000,7235000000,4643000000,None,None,None,123000000,None,-388000000,None,929000000,4122000000,764000000,None,3358000000,None,4245000000,5174000000,3358000000
JNJ,2015-06-30,USD,17787000000,5357000000,5357000000,12430000000,5384000000,2129000000,7513000000,4917000000,None,None,None,131000000,None,955000000,None,889000000,5741000000,1225000000,None,4516000000,None,5872000000,6761000000,4516000000
JNJ,2015-03-31,USD,17374000000,5282000000,5282000000,12092000000,4847000000,1899000000,6746000000,5346000000,None,None,None,138000000,None,367000000,None,895000000,5575000000,1255000000,None,4320000000,None,5713000000,6608000000,4320000000
JNJ,2014-12-31,USD,18254000000,5853000000,5853000000,12401000000,5822000000,2635000000,8457000000,3944000000,None,None,None,139000000,None,-946000000,None,991000000,2703000000,182000000,None,2521000000,None,2842000000,3833000000,2521000000
JNJ,2014-09-30,USD,18467000000,5399000000,5399000000,13068000000,5468000000,2023000000,7491000000,5577000000,None,None,None,130000000,None,1363000000,None,939000000,6810000000,2061000000,None,4749000000,None,6940000000,7879000000,4749000000
JNJ,2014-06-30,USD,19495000000,6039000000,6039000000,13456000000,5481000000,2005000000,7486000000,5970000000,None,None,None,128000000,None,-212000000,None,952000000,5626000000,1300000000,None,4326000000,None,5754000000,6706000000,4326000000
JNJ,2014-03-31,USD,18115000000,5455000000,5455000000,12660000000,5183000000,1831000000,7014000000,5646000000,None,None,None,136000000,None,-68000000,None,1013000000,5424000000,697000000,None,4727000000,None,5560000000,6573000000,4727000000
JNJ,2013-12-31,USD,18355000000,5955000000,5955000000,12400000000,5917000000,2411000000,8328000000,4072000000,None,None,None,134000000,None,-850000000,None,1102000000,2750000000,-769000000,None,3519000000,None,2884000000,3986000000,3519000000
JNJ,2013-09-30,USD,17575000000,5344000000,5344000000,12231000000,5314000000,2042000000,7356000000,4875000000,None,None,None,105000000,None,-925000000,None,976000000,3667000000,685000000,None,2982000000,None,3772000000,4748000000,2982000000
JNJ,2013-06-30,USD,17877000000,5489000000,5489000000,12388000000,5376000000,1946000000,7322000000,5066000000,None,None,None,118000000,None,-155000000,None,990000000,4793000000,960000000,None,3833000000,None,4911000000,5901000000,3833000000
JNJ,2013-03-31,USD,17505000000,5554000000,5554000000,11951000000,5223000000,1784000000,7007000000,4944000000,None,None,None,125000000,None,-494000000,None,1036000000,4261000000,764000000,None,3497000000,None,4386000000,5422000000,3497000000
JNJ,2012-12-31,USD,17558000000,6003000000,6003000000,11555000000,3361000000,2331000000,7992000000,3563000000,None,None,None,107000000,None,-301000000,None,1036000000,3100000000,533000000,None,2567000000,None,3207000000,4243000000,2567000000
JNJ,2012-09-30,USD,17052000000,5597000000,5597000000,11455000000,5228000000,1923000000,7151000000,4304000000,None,None,None,135000000,None,105000000,None,1005000000,3595000000,966000000,None,2629000000,None,3730000000,4735000000,2968000000
JNJ,2012-06-30,USD,16475000000,5143000000,5143000000,11332000000,4965000000,1766000000,6731000000,4601000000,None,None,None,143000000,None,-1994000000,None,852000000,2035000000,627000000,None,1408000000,None,2178000000,3030000000,1408000000
JNJ,2012-03-31,USD,16139000000,4915000000,4915000000,11224000000,5015000000,1645000000,6660000000,4564000000,None,None,None,147000000,None,628000000,None,773000000,5045000000,1135000000,None,3910000000,None,5192000000,5965000000,3910000000
JNJ,2011-12-31,USD,16255000000,5338000000,5338000000,10917000000,5458000000,2155000000,7613000000,3304000000,None,None,None,183000000,None,-2823000000,None,843000000,318000000,100000000,None,218000000,None,501000000,1344000000,218000000
JNJ,2011-09-30,USD,16005000000,5072000000,5072000000,10933000000,5240000000,1773000000,7013000000,3920000000,None,None,None,134000000,None,325000000,None,783000000,4111000000,909000000,None,3202000000,None,4245000000,5028000000,3202000000
JNJ,2011-06-30,USD,16597000000,5172000000,5172000000,11425000000,5215000000,1882000000,7097000000,4328000000,None,None,None,129000000,None,-188000000,None,777000000,3422000000,646000000,None,2776000000,None,3551000000,4328000000,2776000000
JNJ,2011-03-31,USD,16173000000,4778000000,4778000000,11395000000,5056000000,1738000000,6794000000,4601000000,None,None,None,125000000,None,34000000,None,755000000,4510000000,1034000000,None,3476000000,None,4635000000,5390000000,3476000000
JNJ,2010-12-31,USD,15644000000,5040000000,5040000000,10604000000,5180000000,1982000000,7162000000,3442000000,None,None,None,138000000,None,-1026000000,None,769000000,2228000000,286000000,None,1942000000,None,2366000000,3135000000,1942000000
JNJ,2010-09-30,USD,14982000000,4594000000,4594000000,10388000000,4709000000,1657000000,6366000000,4022000000,None,None,None,108000000,None,305000000,None,725000000,4219000000,802000000,None,3417000000,None,4327000000,5052000000,3417000000
JNJ,2010-06-30,USD,15330000000,4630000000,4630000000,10700000000,4756000000,1648000000,6404000000,4296000000,None,None,None,101000000,None,-25000000,None,711000000,4220000000,771000000,None,3449000000,None,4321000000,5032000000,3449000000
JNJ,2010-03-31,USD,15631000000,4528000000,4528000000,11103000000,4779000000,1557000000,6336000000,4767000000,None,None,None,108000000,None,1621000000,None,734000000,6280000000,1754000000,None,4526000000,None,6388000000,7122000000,4526000000
JNJ,2009-12-31,USD,16551000000,5312000000,5312000000,11239000000,19801000000,2213000000,7842000000,3397000000,None,None,None,93000000,None,None,None,744000000,2604000000,398000000,None,0,None,2697000000,3441000000,2206000000
JNJ,2009-09-30,USD,15081000000,4434000000,4434000000,10647000000,4767000000,1617000000,6384000000,4263000000,None,None,None,142000000,None,124000000,None,675000000,4245000000,900000000,None,3345000000,None,4387000000,5062000000,3345000000
JNJ,2009-06-30,USD,15239000000,4450000000,4450000000,10789000000,4797000000,1638000000,6435000000,4354000000,None,None,None,110000000,None,19000000,None,679000000,4263000000,1055000000,None,3208000000,None,4373000000,5052000000,3208000000
JNJ,2009-03-31,USD,15026000000,4251000000,4251000000,10775000000,6126000000,1518000000,6126000000,4649000000,None,None,None,106000000,None,None,None,676000000,4643000000,1136000000,None,None,None,4749000000,5425000000,3507000000
JNJ,2008-12-31,USD,15182000000,4372000000,4372000000,10810000000,21490000000,2108000000,7773000000,3037000000,None,None,None,110000000,None,None,None,715000000,3517000000,803000000,None,0,None,4232000000,4947000000,2714000000
JNJ,2008-09-30,USD,15921000000,4774000000,4774000000,11147000000,7056000000,1861000000,7056000000,4091000000,None,None,None,122000000,None,None,None,768000000,4290000000,980000000,None,0,None,4412000000,5180000000,3310000000
JNJ,2008-06-30,USD,16450000000,4751000000,4751000000,11699000000,7403000000,1936000000,7443000000,4256000000,None,None,None,105000000,None,None,None,683000000,4375000000,1048000000,None,0,None,4480000000,5163000000,3327000000
JNJ,2008-03-31,USD,16194000000,4614000000,4614000000,11580000000,6835000000,1712000000,6835000000,4745000000,None,None,None,98000000,None,None,None,666000000,4747000000,1149000000,None,0,None,4845000000,5511000000,3598000000
JNJ,2007-12-31,USD,15957000000,4734000000,4734000000,11223000000,9831000000,2328000000,8049000000,3174000000,None,None,None,233000000,None,None,None,875000000,2332000000,-42000000,None,0,None,3174000000,4049000000,2374000000
JNJ,2007-09-30,USD,14970000000,4274000000,4274000000,10696000000,4899000000,1834000000,6733000000,3963000000,None,None,None,82000000,None,None,None,597000000,3268000000,720000000,None,0,None,3963000000,4560000000,2548000000
JNJ,2007-06-30,USD,15131000000,4358000000,4358000000,10773000000,5029000000,1866000000,6895000000,3878000000,None,None,None,59000000,None,None,None,683000000,4031000000,950000000,None,0,None,3878000000,4561000000,3081000000
JNJ,2007-03-31,USD,15037000000,4385000000,4385000000,10652000000,4802000000,1652000000,6454000000,4198000000,None,None,None,62000000,None,None,None,622000000,3652000000,1079000000,None,0,None,4198000000,4820000000,2573000000
JNJ,2006-12-31,USD,13682000000,4007000000,4007000000,9675000000,12737000000,2046000000,6742000000,2933000000,None,None,None,21000000,None,None,None,571000000,2708000000,540000000,None,0,None,2933000000,3504000000,2168000000
JNJ,2006-09-30,USD,13287000000,3650000000,3650000000,9637000000,4291000000,1719000000,6010000000,3627000000,None,None,None,13000000,None,None,None,539000000,3661000000,901000000,None,0,None,3627000000,4166000000,2760000000
JNJ,2006-06-30,USD,13363000000,3788000000,3788000000,9575000000,4351000000,1828000000,6179000000,3396000000,None,None,None,13000000,None,None,None,546000000,3603000000,783000000,None,0,None,3396000000,3942000000,2820000000
JNJ,2006-03-31,USD,12992000000,3612000000,3612000000,9380000000,4095000000,1532000000,5627000000,3753000000,None,None,None,16000000,None,None,None,521000000,4615000000,1310000000,None,0,None,3753000000,4274000000,3305000000
