symbol,fiscalDateEnding,reportedCurrency,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,grossProfit,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,operatingIncome,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
LLY,2026-03-31,USD,19799000000,3577000000,3577000000,16222000000,2934000000,3510000000,7372000000,8850000000,None,None,None,332000000,None,None,None,509000000,8850000000,1454000000,None,7396000000,None,8850000000,9359000000,7396000000
LLY,2025-12-31,USD,19292000000,2883700000,2883700000,16408300000,3343500000,3802000000,7633000000,8775300000,None,None,123000000,123000000,None,None,None,152200000,8265000000,1629000000,None,6637700000,None,8235800000,8388000000,6636000000
LLY,2025-09-30,USD,17600800000,3008300000,3008300000,14592500000,2740700000,3465700000,6206400000,8386100000,None,-114600000,65000000,179600000,None,None,None,470000000,7232400000,1649900000,None,5582500000,None,7412000000,7882000000,5582500000
LLY,2025-06-30,USD,15557700000,2447800000,2447800000,13109900000,2647600000,3336100000,5983700000,7126200000,None,-209000000,40000000,249000000,None,None,None,478500000,6776400000,1115900000,None,5660500000,None,7025400000,7503900000,5660500000
LLY,2025-03-31,USD,12728500000,2224200000,2224200000,10504300000,2362200000,2733700000,5095900000,5408400000,None,-195400000,48300000,243700000,None,None,None,462800000,3456100000,696800000,None,2759300000,None,3699800000,4162600000,2759300000
LLY,2024-12-31,USD,13532800000,2403800000,2403800000,11129000000,2308700000,3022500000,5331200000,5797800000,None,-180400000,44300000,224700000,None,None,None,484800000,5038700000,628900000,None,4409800000,None,5263400000,5748200000,4409800000
LLY,2024-09-30,USD,11439100000,2170800000,2170800000,9268300000,1984400000,2734100000,4718500000,4549800000,None,-144900000,47800000,192700000,None,None,None,466800000,1588400000,618100000,None,970300000,None,1781100000,2247900000,970300000
LLY,2024-06-30,USD,11302800000,2170200000,2170200000,9132600000,2002900000,2711200000,4714100000,4418500000,None,-146300000,37300000,183600000,None,None,None,414400000,3517200000,550200000,None,2967000000,None,3700800000,4115200000,2967000000
LLY,2024-03-31,USD,8768000000,1673500000,1673500000,7094500000,1836100000,2522800000,4358900000,2735600000,None,-133800000,45800000,179600000,None,None,None,400600000,2536100000,293200000,None,2242900000,None,2715700000,3116300000,2242900000
LLY,2023-12-31,USD,9353400000,1788000000,1788000000,7565400000,1809600000,2562700000,4372300000,3193100000,None,-93700000,44500000,138200000,None,None,None,387700000,2508800000,319100000,None,2189700000,None,2647000000,3034700000,2189700000
LLY,2023-09-30,USD,9498600000,1860100000,1860100000,7638500000,1688400000,2409100000,4097500000,3541000000,None,-75700000,138600000,124600000,None,None,None,411000000,427200000,484600000,None,-57400000,None,551800000,962800000,-57400000
LLY,2023-06-30,USD,8312100000,1807400000,1807400000,6504700000,1809800000,2356500000,4166300000,2338400000,None,-74300000,46000000,120300000,None,-36800000,None,366300000,2088900000,325700000,None,1763200000,None,2209200000,2575500000,1763200000
LLY,2023-03-31,USD,6960000000,1626700000,1626700000,5333300000,1633400000,1985100000,3618500000,1714800000,None,-68600000,68600000,102800000,None,35700000,None,362300000,1529700000,184800000,None,1344900000,None,1632500000,1994800000,1344900000
LLY,2022-12-31,USD,7301800000,1548100000,1548100000,5753700000,1550300000,1995900000,3546200000,2207500000,None,-58500000,58500000,84000000,None,260000000,None,375000000,2096400000,158700000,None,1937700000,None,2180400000,2555400000,1937700000
LLY,2022-09-30,USD,6941600000,1579100000,1579100000,5362500000,1521800000,1802900000,3324700000,2037800000,None,-61400000,20100000,81500000,None,-111000000,None,362900000,1565500000,113800000,None,1451700000,None,1647000000,2009900000,1451700000
LLY,2022-06-30,USD,6488000000,1430500000,1430500000,5057500000,1530800000,1781900000,3312700000,1744800000,None,-71000000,10200000,81200000,None,-119200000,None,348900000,1090900000,138400000,None,952500000,None,1172100000,1521000000,952500000
