symbol,fiscalDateEnding,reportedCurrency,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,grossProfit,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,operatingIncome,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
MA,2026-03-31,USD,8398000000,2037000000,2037000000,6361000000,1301000000,None,1454000000,4907000000,None,-185000000,None,185000000,None,None,None,620000000,4812000000,930000000,None,3882000000,None,4907000000,5527000000,3882000000
MA,2025-12-31,USD,8806000000,1818000000,1818000000,8806000000,3106000000,None,3392000000,5414000000,None,-159000000,177000000,159000000,None,None,None,297000000,4876000000,816000000,None,4060000000,None,4910000000,5207000000,4060000000
MA,2025-09-30,USD,8602000000,1893000000,1893000000,6709000000,1403000000,None,1648000000,5061000000,None,-186000000,64000000,186000000,None,None,None,290000000,4999000000,1072000000,None,3927000000,None,5061000000,5351000000,3927000000
MA,2025-06-30,USD,8133000000,1852000000,1852000000,6281000000,873000000,None,1504000000,4777000000,None,-195000000,121000000,195000000,None,None,None,281000000,4672000000,971000000,None,3701000000,None,4867000000,5148000000,3701000000
MA,2025-03-31,USD,7250000000,1688000000,1688000000,5562000000,834000000,None,1413000000,4149000000,None,-182000000,123000000,182000000,None,None,None,275000000,4031000000,751000000,None,3280000000,None,4213000000,4488000000,3280000000
MA,2024-12-31,USD,7489000000,1653000000,1653000000,5836000000,1076000000,None,1898000000,3938000000,None,-184000000,48000000,184000000,None,None,None,231000000,3891000000,549000000,None,3342000000,None,4075000000,4306000000,3342000000
MA,2024-09-30,USD,7369000000,1899000000,1899000000,5470000000,829000000,None,1466000000,4004000000,None,-159000000,145000000,159000000,None,None,None,225000000,3866000000,603000000,None,3263000000,None,4025000000,4250000000,3263000000
MA,2024-06-30,USD,6961000000,1607000000,1607000000,5354000000,806000000,None,1318000000,4036000000,None,-153000000,None,153000000,None,None,None,225000000,3939000000,681000000,None,3258000000,None,4092000000,4317000000,3258000000
MA,2024-03-31,USD,6348000000,1514000000,1514000000,4834000000,744000000,None,1230000000,3604000000,None,-150000000,None,150000000,None,None,None,216000000,3558000000,547000000,None,3011000000,None,3708000000,3924000000,3011000000
MA,2023-12-31,USD,6548000000,1528000000,1528000000,5020000000,853000000,None,1648000000,3372000000,None,-148000000,None,148000000,None,None,None,205000000,3321000000,530000000,None,2791000000,None,3469000000,3674000000,2791000000
