symbol,fiscalDateEnding,reportedCurrency,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,grossProfit,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,operatingIncome,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
NFLX,2026-03-31,USD,12249757000,5888238000,5888238000,6361519000,602609000,959696000,2404522000,3956997000,None,2590089000,2852166000,262077000,None,None,None,4316475000,6547086000,1264295000,None,5282791000,None,6809163000,11125638000,5282791000
NFLX,2025-12-31,USD,12050762000,6522621000,6522621000,5528141000,567802000,890300000,2571478000,2956663000,None,-188922000,188922000,234395000,None,None,None,4850219000,2767741000,349220000,None,2418521000,None,3002136000,7852355000,2418521000
NFLX,2025-09-30,USD,11510307000,6164250000,6164250000,5346057000,457931000,853584000,2097810000,3248247000,None,-138837000,36457000,175294000,None,None,None,4090070000,3109410000,562494000,None,2546916000,None,3284704000,7374774000,2546916000
NFLX,2025-06-30,USD,11079166000,5325311000,5325311000,5753855000,441213000,824683000,1979161000,3774694000,None,-143019000,143019000,182649000,None,None,None,3912087000,3631675000,506262000,None,3125413000,None,3814324000,7726411000,3125413000
NFLX,2025-03-31,USD,10542801000,5263147000,5263147000,5279654000,421462000,822823000,1932655000,3346999000,None,-133273000,50899000,184172000,None,None,None,3903179000,3213726000,323375000,None,2890351000,None,3397898000,7301077000,2890351000
NFLX,2024-12-31,USD,10246513000,5767364000,5767364000,4479149000,453674000,776505000,2206383000,2272766000,None,-138498000,54105000,192603000,None,None,None,4241040000,2134268000,265661000,None,1868607000,None,1941665000,6182705000,1868607000
NFLX,2024-09-30,USD,9824703000,5119884000,5119884000,4704819000,417353000,735063000,1795342000,2909477000,None,-206523000,None,206523000,None,None,None,3780435000,2702954000,339445000,None,2363509000,None,2909477000,6689912000,2363509000
NFLX,2024-06-30,USD,9559310000,5174143000,5174143000,4385167000,426992000,711254000,1782330000,2602837000,None,-88981000,79005000,167986000,None,None,None,3850917000,2513856000,366550000,None,2147306000,None,2681842000,6532759000,2147306000
NFLX,2024-03-31,USD,9370440000,4977073000,4977073000,4393367000,404020000,702473000,1760833000,2632534000,None,-17955000,155359000,173314000,None,None,None,3758039000,2614579000,282370000,None,2332209000,None,2787893000,6545932000,2332209000
NFLX,2023-12-31,USD,8832825000,5307485000,5307485000,3525340000,439273000,673341000,2029231000,1496109000,None,-347959000,None,223984000,None,None,None,3840646000,1148150000,210312000,None,937838000,None,1496109000,5336755000,937838000
NFLX,2023-09-30,USD,8541668000,4930788000,4930788000,3610880000,478591000,657159000,1694486000,1916394000,None,-7345000,7345000,175563000,None,None,None,3664013000,1909049000,231627000,None,1677422000,None,1916394000,5580407000,1677422000
NFLX,2023-06-30,USD,8187301000,4673470000,4673470000,3513831000,401497000,657983000,1686648000,1827183000,None,-147851000,26961000,174812000,None,26961000,None,3526367000,1679332000,191722000,None,1487610000,None,1827183000,5353550000,1487610000
NFLX,2023-03-31,USD,8161503000,4803625000,4803625000,3357878000,400924000,687275000,1643561000,1714317000,None,-245443000,71204000,174239000,None,-71204000,None,3550319000,1468874000,163754000,None,1305120000,None,1714317000,5264636000,1305120000
NFLX,2022-12-31,USD,7852053000,5404160000,5404160000,2447893000,392453000,673926000,1897989000,549904000,None,-170603000,339965000,510568000,None,-339965000,None,4038214000,39336000,-15948000,None,55284000,None,549904000,4588118000,55284000
NFLX,2022-09-30,USD,7925589000,4788665000,4788665000,3136924000,373213000,662739000,1603906000,1533018000,None,88829000,261404000,172575000,None,261404000,None,4000184000,1621847000,223605000,None,1398242000,None,1533018000,5533202000,1398242000
NFLX,2022-06-30,USD,7970141000,4690755000,4690755000,3279386000,409297000,716846000,1701103000,1578283000,None,44771000,220226000,175455000,None,220226000,None,3565079000,1623054000,182103000,None,1440951000,None,1578283000,5143362000,1440951000
NFLX,2022-03-31,USD,7867767000,4284705000,4284705000,3583062000,397928000,657530000,1611436000,1971626000,None,8066000,195645000,187579000,None,195645000,None,3436612000,1979692000,382245000,None,1597447000,None,1971626000,5408238000,1597447000
NFLX,2021-12-31,USD,7709318000,5239575000,5239575000,2469743000,397790000,647470000,1837973000,631770000,None,-80917000,108512000,189429000,None,108512000,None,3805301000,550853000,-56576000,None,607429000,None,631770000,4437071000,607429000
NFLX,2021-09-30,USD,7483467000,4206589000,4206589000,3276878000,321790000,563887000,1521625000,1755253000,None,-94294000,96135000,190429000,None,96135000,None,3033304000,1660959000,211888000,None,1449071000,None,1755253000,4788557000,1449071000
NFLX,2021-06-30,USD,7341777000,4018008000,4018008000,3323769000,334845000,537321000,1476139000,1847630000,None,-253841000,None,253841000,None,-62519000,None,2845237000,1593789000,240776000,None,1353013000,None,1847630000,4692867000,1353013000
NFLX,2021-03-31,USD,7163282000,3868511000,3868511000,3294771000,297196000,525207000,1334915000,1959856000,None,74646000,269086000,194440000,None,269086000,None,2754937000,2034502000,327787000,None,1706715000,None,1959856000,4714793000,1706715000
NFLX,2020-12-31,USD,6644442000,4165160000,4165160000,2479282000,275539000,486936000,1525040000,954242000,None,-447825000,None,447825000,None,-250639000,None,3014568000,506417000,-35739000,None,542156000,None,954242000,3968810000,542156000
NFLX,2020-09-30,USD,6435637000,3867751000,3867751000,2567886000,271624000,453802000,1253023000,1314863000,None,-453403000,None,453403000,None,-256324000,None,2762332000,861460000,71484000,None,789976000,None,1314863000,4077195000,789976000
NFLX,2020-06-30,USD,6148286000,3643707000,3643707000,2504579000,277236000,435045000,1146651000,1357928000,None,-322326000,133175000,322326000,None,-133175000,None,2633820000,1035602000,315406000,None,720196000,None,1357928000,3991748000,720196000
NFLX,2020-03-31,USD,5767691000,3599701000,3599701000,2167990000,252087000,453817000,1209734000,958256000,None,-162386000,21697000,184083000,None,21697000,None,2511902000,795870000,86803000,None,709067000,None,958256000,3470158000,709067000
NFLX,2019-12-31,USD,5467434000,3466023000,3466023000,2001411000,254586000,409376000,1542899000,458512000,None,-309179000,131378000,309179000,None,-131378000,None,2607487000,149333000,-437637000,None,586970000,None,458512000,3065999000,586970000
NFLX,2019-09-30,USD,5244905000,3097919000,3097919000,2146986000,233174000,379776000,1166747000,980239000,None,32084000,192744000,160660000,None,192744000,None,2313335000,1012323000,347079000,None,665244000,None,980239000,3293574000,665244000
NFLX,2019-06-30,USD,4923116000,3005657000,3005657000,1917459000,224657000,383233000,1211040000,706419000,None,-205503000,53470000,205503000,None,-53470000,None,2265067000,500916000,230266000,None,270650000,None,706419000,2971486000,270650000
NFLX,2019-03-31,USD,4520992000,2870614000,2870614000,1650378000,201952000,372764000,1191294000,459084000,None,-59425000,76104000,135529000,None,76104000,None,2156756000,399659000,55607000,None,344052000,None,459084000,2615840000,344052000
NFLX,2018-12-31,USD,4186841000,2733400000,2733400000,1453441000,175530000,331789000,1237674000,215767000,None,None,None,128807000,None,32436000,None,2085844000,119396000,-14538000,None,133934000,None,215767000,2301611000,133934000
NFLX,2018-09-30,USD,3999374000,2412346000,2412346000,1587028000,344065000,327026000,1106360000,480668000,None,None,None,108862000,None,7004000,None,1942887000,378810000,-24025000,None,402835000,None,480668000,2423555000,402835000
NFLX,2018-06-30,USD,3907270000,2289867000,2289867000,1617403000,311197000,317213000,1155190000,462213000,None,None,None,101605000,None,68028000,None,1848707000,428636000,44287000,None,384349000,None,462213000,2310920000,384349000
NFLX,2018-03-31,USD,3700856000,2196075000,2196075000,1504781000,278251000,300730000,1058203000,446578000,None,None,None,146962000,None,-65743000,None,1779019000,299616000,9492000,None,290124000,None,446578000,2225597000,290124000
NFLX,2017-12-31,USD,3285755000,2107354000,2107354000,1178401000,239808000,273351000,933098000,245303000,None,None,None,113973000,None,-38681000,None,1745225000,131330000,-54187000,None,185517000,None,245303000,1990528000,185517000
NFLX,2017-09-30,USD,2984859000,1992980000,1992980000,991879000,215526000,255236000,783252000,208627000,None,None,None,92390000,None,-31702000,None,1659974000,116237000,-13353000,None,129590000,None,208627000,1868601000,129590000
NFLX,2017-06-30,USD,2785464000,1902308000,1902308000,883156000,213943000,267083000,755349000,127807000,None,None,None,113845000,None,-58363000,None,1585856000,13962000,-51638000,None,65600000,None,127807000,1713663000,65600000
