symbol,fiscalDateEnding,reportedCurrency,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,grossProfit,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,operatingIncome,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
PLTR,2026-03-31,USD,1632583000,215798000,215798000,1416785000,182586000,160981000,662787000,753998000,None,66394000,66394000,None,None,None,None,None,888601000,12199000,None,876402000,None,None,753998000,870527000
PLTR,2025-12-31,USD,1406802000,215966000,215966000,1190836000,169762000,143554000,615442000,575394000,None,62723000,62723000,None,None,None,None,7018000,621383000,12707000,None,611607000,None,575394000,582412000,608676000
PLTR,2025-09-30,USD,1181092000,207307000,207307000,973785000,161702000,144191000,580529000,393256000,None,59762000,59762000,None,None,None,None,5975000,480501000,3753000,None,476748000,None,393256000,399231000,475599000
PLTR,2025-06-30,USD,1003697000,192934000,192934000,810763000,162615000,135043000,541446000,269317000,None,56255000,56255000,None,None,None,None,6530000,332168000,3596000,None,328572000,None,269317000,275847000,326727000
PLTR,2025-03-31,USD,883855000,172970000,172970000,710885000,163639000,134889000,534837000,176048000,None,50441000,50441000,None,None,None,None,6622000,223316000,5599000,None,217717000,None,176048000,182670000,214031000
PLTR,2024-12-31,USD,827519000,174533000,174533000,652986000,182146000,171502000,641943000,11043000,None,54727000,54727000,None,None,None,None,7006000,80538000,3602000,None,76936000,None,11043000,18049000,79009000
PLTR,2024-09-30,USD,725516000,146639000,146639000,578877000,138708000,117555000,465737000,113140000,None,52120000,52120000,None,None,None,None,8087000,157150000,7809000,None,149341000,None,113140000,121227000,143525000
PLTR,2024-06-30,USD,678134000,128562000,128562000,549572000,138643000,108781000,444233000,105339000,None,46593000,46593000,None,None,None,None,8056000,140759000,5189000,None,135570000,None,105339000,113395000,134126000
PLTR,2024-03-31,USD,634338000,116256000,116256000,518082000,133984000,110040000,437201000,80881000,None,43352000,43352000,None,None,None,None,8438000,110726000,4655000,None,106071000,None,80881000,89319000,105530000
PLTR,2023-12-31,USD,608350000,108639000,108639000,499711000,127271000,109283000,433917000,65794000,None,44409000,44545000,136000,None,None,None,7972000,106247000,9334000,None,96913000,None,106383000,114355000,93391000
PLTR,2023-09-30,USD,558159000,107922000,107922000,450237000,128173000,105708000,410254000,39983000,None,36122000,36864000,742000,None,None,None,8663000,79969000,6530000,None,73439000,None,80711000,89374000,71505000
PLTR,2023-06-30,USD,533317000,106899000,106899000,426418000,132648000,99533000,416344000,10074000,None,28993000,30310000,1317000,None,21286000,None,8399000,30043000,2171000,None,27872000,None,10074000,18473000,28127000
PLTR,2023-03-31,USD,525186000,107645000,107645000,417541000,136233000,90100000,413426000,4115000,None,19578000,20853000,1275000,None,17992000,None,8320000,20832000,1681000,None,19151000,None,4115000,12435000,16802000
PLTR,2022-12-31,USD,508624000,104311000,104311000,404313000,149862000,82044000,422139000,-17826000,None,11038000,12750000,1712000,None,57387000,None,7373000,37849000,4360000,None,33489000,None,39561000,46934000,30878000
PLTR,2022-09-30,USD,477880000,107611000,107611000,370269000,148679000,100863000,432460000,-62191000,None,4458000,5540000,1082000,None,-59506000,None,5942000,-122779000,1096000,None,-123875000,None,-121697000,-115755000,-123875000
PLTR,2022-06-30,USD,473010000,102224000,102224000,370786000,155485000,88171000,412531000,-41745000,None,802000,1472000,670000,None,-134326000,None,4895000,-176741000,2588000,None,-179329000,None,-176071000,-171176000,-179329000
