symbol,fiscalDateEnding,reportedCurrency,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,grossProfit,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,operatingIncome,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
TSM,2026-03-31,TWD,1134103000000,382808000000,382808000000,751295000000,23333000000,67757000000,94006000000,657289000000,None,26145401000,28862263000,2716862000,None,None,None,165450000000,687800000000,114999000000,None,572801304000,None,657289000000,822739000000,572480000000
TSM,2025-12-31,TWD,1055976591000,397827665000,397827665000,658148926000,23333000000,65469963000,89023483000,569125442000,None,26463976000,27946000000,3043450000,None,None,None,163644120000,597961420000,87768736000,None,505415333000,None,596464403000,760108523000,510523784000
TSM,2025-09-30,TWD,989918000000,401375000000,401375000000,588543000000,20048234000,63743000000,87858000000,500685000000,None,23221777000,26180345000,98843000,None,None,None,162787000000,525369000000,73614000000,None,525369000000,None,525369000000,688156000000,452302000000
TSM,2025-06-30,TWD,933792000000,386423000000,386423000000,547369000000,18955373000,61280000000,83945231000,463423000000,None,21500903000,22723000000,3691095000,None,None,None,363197000000,493036000000,95543000000,None,398273000000,None,493036000000,856233000000,398273000000
TSM,2025-03-31,TWD,839254000000,345859000000,345859000000,493395000000,24883748000,56547493000,86314268000,407081000000,None,22182038000,24859312000,2677274000,None,None,None,163411731000,430895000000,70162751000,None,360732661000,None,428217726000,591629457000,361564128000
TSM,2024-12-31,TWD,868461000000,356082000000,356082000000,512379000000,25427009000,57232000000,86666000000,425713000000,None,21750000000,24273341000,2523215000,None,None,None,170378000000,448798000000,74329000000,None,374469000000,None,425713000000,596091000000,374680000000
TSM,2024-09-30,TWD,759692143000,320346477000,320346477000,439345666000,22890591000,52783826000,78579377000,360766289000,None,19965864000,22601654000,2635790000,None,None,None,168228557000,384186852000,59106682000,None,384187000000,None,386822642000,555051199000,325257571000
TSM,2024-06-30,TWD,673510177000,315385699000,315385699000,358124478000,19290282000,48057704000,71568936000,286555542000,None,18341093000,20979233000,2638140000,None,None,None,165166594000,306310575000,58649137000,None,247845000000,None,308948715000,474115309000,247845528000
TSM,2024-03-31,TWD,592644201000,278138932000,278138932000,314505269000,16137086000,46108936000,65486963000,249018306000,None,16660917000,19359172000,2698255000,None,None,None,159023162000,266543204000,41321941000,None,225485000000,None,269241459000,428264621000,225484877000
TSM,2023-12-31,TWD,625529000000,293761000000,293761000000,331768000000,18235339000,50410000000,71563000000,260205000000,None,14490150000,17408787000,2918637000,None,None,None,150648000000,278281000000,39974000000,None,251566384000,None,260205000000,410853000000,238712000000
TSM,2023-09-30,TWD,546733000000,250090000000,250090000000,296643000000,17571000000,51137762000,318668000000,228065000000,None,12483352000,13650000000,3111922000,None,None,None,147280162000,241940000000,31145000000,None,241940000000,None,228065000000,228065000000,211000000000
TSM,2023-06-30,TWD,480841000000,220641000000,220641000000,260200000000,14163389000,41665000000,278883000000,201958000000,None,10667000000,11801000000,3005155000,None,None,None,123939000000,214675000000,32958000000,None,181717000000,None,201958000000,325897000000,181799000000
TSM,2023-03-31,TWD,508632973000,222132581000,222132581000,286500392000,16957177000,44587023000,277394816000,231238157000,None,10654132000,11693000000,3334985000,None,None,None,110322641000,295904000000,37325895000,None,206949036000,None,231238157000,357561258000,233625311000
