symbol,fiscalDateEnding,reportedCurrency,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,grossProfit,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,operatingIncome,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
V,2026-03-31,USD,11230000000,2101000000,2101000000,9129000000,688000000,None,1895000000,7234000000,None,-178000000,None,566000000,None,None,None,333000000,7174000000,1153000000,None,6021000000,None,7234000000,7567000000,6021000000
V,2025-12-31,USD,10901000000,1997000000,1997000000,8904000000,723000000,None,2167000000,6737000000,None,-194000000,11000000,194000000,None,None,None,326000000,6726000000,873000000,None,5853000000,None,6920000000,7246000000,5853000000
V,2025-09-30,USD,10724000000,1981000000,1981000000,8743000000,800000000,None,2595000000,6148000000,None,-210000000,75000000,210000000,None,None,None,316000000,6223000000,1133000000,None,5090000000,None,6433000000,6749000000,5090000000
V,2025-06-30,USD,10172000000,1973000000,1973000000,8199000000,669000000,None,2022000000,6177000000,None,-39000000,156000000,39000000,None,None,None,317000000,6333000000,1061000000,None,5272000000,None,6372000000,6689000000,5272000000
V,2025-03-31,USD,9594000000,1881000000,1881000000,7713000000,592000000,None,2278000000,5435000000,None,-158000000,3000000,158000000,None,None,None,305000000,5438000000,861000000,None,4577000000,None,5596000000,5901000000,4577000000
V,2024-12-31,USD,9510000000,2020000000,2020000000,7490000000,624000000,None,1256000000,6234000000,None,-182000000,34000000,182000000,None,None,None,282000000,6200000000,1081000000,None,5119000000,None,6382000000,6664000000,5119000000
V,2024-09-30,USD,9617000000,1817000000,1817000000,7800000000,616000000,None,1451000000,6349000000,None,-176000000,23000000,176000000,None,None,None,274000000,6372000000,1054000000,None,5318000000,None,6548000000,6822000000,5318000000
V,2024-06-30,USD,8900000000,1773000000,1773000000,7127000000,534000000,None,1189000000,5938000000,None,-196000000,None,196000000,None,None,None,264000000,5989000000,1117000000,None,4872000000,None,6185000000,6449000000,4872000000
V,2024-03-31,USD,8775000000,2041000000,2041000000,6734000000,612000000,None,924000000,5354000000,None,-82000000,None,82000000,None,None,None,249000000,5513000000,850000000,None,4663000000,None,5810000000,6059000000,4663000000
V,2023-12-31,USD,8634000000,1660000000,1660000000,6974000000,471000000,None,1020000000,5954000000,None,-187000000,None,187000000,None,None,None,247000000,6042000000,1152000000,None,4890000000,None,6229000000,6476000000,4890000000
