symbol,fiscalDateEnding,reportedCurrency,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,grossProfit,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,operatingIncome,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
WMT,2026-01-31,USD,190656000000,143615000000,143615000000,47041000000,None,None,38333000000,8708000000,None,-621000000,88000000,709000000,None,None,None,3741000000,5970000000,1578000000,None,4392000000,None,6679000000,10420000000,4237000000
WMT,2025-10-31,USD,179496000000,134706000000,134706000000,44790000000,38094000000,None,38094000000,6696000000,None,-591000000,93000000,684000000,None,None,None,3606000000,8186000000,2098000000,None,6088000000,None,8870000000,12476000000,6143000000
WMT,2025-07-31,USD,177402000000,132771000000,132771000000,44631000000,37345000000,None,37345000000,7286000000,None,-675000000,94000000,769000000,None,None,None,3487000000,9319000000,2168000000,None,7151000000,None,10088000000,13575000000,7026000000
WMT,2025-04-30,USD,165609000000,124303000000,124303000000,41306000000,34171000000,None,34171000000,7135000000,None,-544000000,93000000,637000000,None,None,None,3369000000,5994000000,1355000000,None,4639000000,None,6631000000,10000000000,4487000000
WMT,2025-01-31,USD,180554000000,136172000000,136172000000,44382000000,36523000000,None,36523000000,7859000000,None,-602000000,115000000,717000000,None,None,None,3374000000,6963000000,1538000000,None,5425000000,None,7680000000,11054000000,5254000000
WMT,2024-10-31,USD,169588000000,127340000000,127340000000,42248000000,35540000000,None,35540000000,6708000000,None,-478000000,140000000,618000000,None,None,None,3260000000,6098000000,1384000000,None,4714000000,None,6716000000,9976000000,4577000000
WMT,2024-07-31,USD,169335000000,126810000000,126810000000,42525000000,34585000000,None,34585000000,7940000000,None,-565000000,114000000,679000000,None,None,None,3211000000,6213000000,1502000000,None,4711000000,None,6892000000,10103000000,4501000000
WMT,2024-04-30,USD,161508000000,121431000000,121431000000,40077000000,33236000000,None,33236000000,6841000000,None,-600000000,114000000,714000000,None,None,None,3128000000,7035000000,1728000000,None,5307000000,None,7749000000,10877000000,5104000000
WMT,2024-01-31,USD,173388000000,131825000000,131825000000,41563000000,34309000000,None,34309000000,7254000000,None,-549000000,146000000,695000000,None,None,None,3117000000,7518000000,1840000000,None,5678000000,None,8213000000,11330000000,5494000000
WMT,2023-10-31,USD,160804000000,121183000000,121183000000,39621000000,33419000000,None,33419000000,6202000000,None,-537000000,145000000,682000000,None,None,None,2986000000,915000000,272000000,None,643000000,None,1597000000,4583000000,453000000
WMT,2023-07-31,USD,161632000000,121850000000,121850000000,39782000000,32466000000,None,32466000000,7316000000,None,-494000000,494000000,642000000,None,3905000000,None,2905000000,10727000000,2674000000,None,8053000000,None,11369000000,14274000000,7891000000
WMT,2023-04-30,USD,152301000000,115284000000,115284000000,37017000000,30777000000,None,30777000000,6240000000,None,-557000000,107000000,664000000,None,-2995000000,None,2845000000,2688000000,792000000,None,1896000000,None,3352000000,6197000000,1673000000
WMT,2023-01-31,USD,164048000000,125423000000,125423000000,38625000000,33064000000,None,33064000000,5561000000,None,-507000000,507000000,610000000,None,3848000000,None,2811000000,8902000000,3093000000,None,5809000000,None,9512000000,12323000000,6275000000
WMT,2022-10-31,USD,152813000000,115613000000,115613000000,37200000000,34505000000,None,34505000000,2695000000,None,-500000000,500000000,584000000,None,-3626000000,None,2755000000,-1431000000,336000000,None,-1767000000,None,-847000000,1908000000,-1798000000
WMT,2022-07-31,USD,152859000000,115838000000,115838000000,37021000000,30167000000,None,30167000000,6854000000,None,-448000000,31000000,479000000,None,238000000,None,2699000000,6644000000,1497000000,None,5147000000,None,7123000000,9822000000,5149000000
WMT,2022-04-30,USD,141569000000,106847000000,106847000000,34722000000,29404000000,None,29404000000,5318000000,None,-419000000,36000000,455000000,None,-1998000000,None,2680000000,2901000000,798000000,None,2103000000,None,3356000000,6036000000,2054000000
WMT,2022-01-31,USD,152871000000,115522000000,115522000000,37349000000,31462000000,None,31462000000,5887000000,None,-380000000,380000000,427000000,None,-725000000,None,2706000000,4782000000,1149000000,None,3633000000,None,5209000000,7915000000,3562000000
WMT,2021-10-31,USD,140525000000,105023000000,105023000000,35502000000,29710000000,None,29710000000,5792000000,None,-442000000,442000000,486000000,None,-1203000000,None,2650000000,4147000000,1015000000,None,3132000000,None,4633000000,7283000000,3105000000
WMT,2021-07-31,USD,141048000000,105183000000,105183000000,35865000000,28511000000,None,28511000000,7354000000,None,-478000000,37000000,515000000,None,-953000000,None,2641000000,5923000000,1559000000,None,4364000000,None,6438000000,9079000000,4276000000
WMT,2021-04-30,USD,138310000000,103272000000,103272000000,35038000000,28129000000,None,28129000000,6909000000,None,-536000000,30000000,566000000,None,-2529000000,None,2661000000,3844000000,1033000000,None,2811000000,None,4410000000,7071000000,2730000000
WMT,2021-01-31,USD,152079000000,115261000000,115261000000,36818000000,31331000000,None,31331000000,5487000000,None,-494000000,30000000,524000000,None,None,None,2819000000,-593000000,1415000000,None,-2008000000,None,-69000000,2750000000,-2091000000
WMT,2020-10-31,USD,134708000000,100339000000,100339000000,34369000000,28591000000,None,28591000000,5778000000,None,-516000000,1337000000,541000000,None,1853000000,None,2771000000,7115000000,1914000000,None,5201000000,None,7656000000,10427000000,5135000000
WMT,2020-07-31,USD,137742000000,102689000000,102689000000,35053000000,28994000000,None,28994000000,6059000000,None,-635000000,2587000000,658000000,None,3222000000,None,2771000000,8646000000,2207000000,None,6439000000,None,9304000000,12075000000,6476000000
WMT,2020-04-30,USD,134622000000,102026000000,102026000000,32596000000,27372000000,None,27372000000,5224000000,None,-549000000,43000000,592000000,None,721000000,None,2791000000,5396000000,1322000000,None,4074000000,None,5988000000,8779000000,3990000000
WMT,2020-01-31,USD,141671000000,107748000000,107748000000,33923000000,28601000000,None,28601000000,5322000000,None,-611000000,41000000,652000000,None,962000000,None,2828000000,5673000000,1379000000,None,4294000000,None,6325000000,9153000000,4141000000
WMT,2019-10-31,USD,127991000000,95900000000,95900000000,32091000000,27373000000,None,27373000000,4718000000,None,-589000000,44000000,633000000,None,244000000,None,2723000000,4373000000,1052000000,None,3321000000,None,5006000000,7729000000,3288000000
WMT,2019-07-31,USD,130377000000,97923000000,97923000000,32454000000,26871000000,None,26871000000,5583000000,None,-585000000,56000000,641000000,None,-85000000,None,2722000000,4913000000,1233000000,None,3680000000,None,5554000000,8276000000,3610000000
WMT,2019-04-30,USD,123925000000,93034000000,93034000000,30891000000,25946000000,None,25946000000,4945000000,None,-625000000,212000000,673000000,None,837000000,None,2714000000,5157000000,1251000000,None,3906000000,None,5830000000,8544000000,3842000000
WMT,2019-01-31,USD,138793000000,104907000000,104907000000,33886000000,24159000000,0,27819000000,6067000000,None,None,None,669000000,None,202000000,None,2731000000,5664000000,1851000000,None,3813000000,None,6333000000,9064000000,3687000000
WMT,2018-10-31,USD,124894000000,93116000000,93116000000,31778000000,26792000000,0,26792000000,4986000000,None,None,None,593000000,None,-1876000000,None,2615000000,2576000000,759000000,None,1817000000,None,3169000000,5784000000,1710000000
WMT,2018-07-31,USD,128028000000,95571000000,95571000000,32457000000,26707000000,0,26707000000,5750000000,None,None,None,554000000,None,-4849000000,None,2654000000,398000000,1125000000,None,-727000000,None,952000000,3606000000,-861000000
WMT,2018-04-30,USD,122690000000,91707000000,91707000000,30983000000,25829000000,0,25829000000,5154000000,None,None,None,530000000,None,-1845000000,None,2678000000,2822000000,546000000,None,2276000000,None,3352000000,6030000000,2134000000
WMT,2018-01-31,USD,136267000000,102640000000,102640000000,33627000000,24398000000,0,29160000000,4467000000,None,None,None,536000000,None,-1004000000,None,2702000000,2964000000,601000000,None,2363000000,None,6129000000,8831000000,2175000000
WMT,2017-10-31,USD,123179000000,91547000000,91547000000,31632000000,26868000000,0,26868000000,4764000000,None,None,None,583000000,None,-1344000000,None,2658000000,2879000000,975000000,None,1904000000,None,3462000000,6120000000,1749000000
WMT,2017-07-31,USD,123355000000,91521000000,91521000000,31834000000,25865000000,0,25865000000,5969000000,None,None,None,613000000,None,-788000000,None,2618000000,4606000000,1502000000,None,3104000000,None,5219000000,7837000000,2899000000
WMT,2017-04-30,USD,117542000000,87688000000,87688000000,29854000000,24617000000,0,24617000000,5237000000,None,None,None,598000000,None,None,None,2551000000,4674000000,1522000000,None,3152000000,None,5272000000,7823000000,3039000000
WMT,2017-01-31,USD,130936000000,97743000000,97743000000,33193000000,24088000000,0,26988000000,6205000000,None,None,None,585000000,None,None,None,2706000000,5650000000,1664000000,None,3986000000,None,6205000000,8911000000,3757000000
WMT,2016-10-31,USD,118179000000,87484000000,87484000000,30695000000,25576000000,0,25576000000,5119000000,None,None,None,609000000,None,None,None,2469000000,4534000000,1332000000,None,3202000000,None,5119000000,7588000000,3034000000
WMT,2016-07-31,USD,120854000000,89485000000,89485000000,31369000000,25204000000,0,25204000000,6165000000,None,None,None,588000000,None,None,None,2517000000,5599000000,1710000000,None,3889000000,None,6165000000,8682000000,3773000000
WMT,2016-04-30,USD,115904000000,86544000000,86544000000,29360000000,24085000000,0,24085000000,5275000000,None,None,None,585000000,None,None,None,2388000000,4714000000,1498000000,None,3216000000,None,5275000000,7663000000,3079000000
WMT,2016-01-31,USD,129667000000,96999000000,96999000000,32668000000,23526000000,0,26026000000,6642000000,None,None,None,565000000,None,None,None,2431000000,6094000000,1346000000,None,4748000000,None,6642000000,9073000000,4574000000
WMT,2015-10-31,USD,117408000000,87446000000,87446000000,29962000000,24248000000,0,24248000000,5714000000,None,None,None,573000000,None,None,None,2365000000,5162000000,1748000000,None,3414000000,None,5714000000,8079000000,3304000000
WMT,2015-07-31,USD,120229000000,90056000000,90056000000,30173000000,24104000000,0,24104000000,6069000000,None,None,None,567000000,None,None,None,2339000000,5526000000,1891000000,None,3635000000,None,6069000000,8408000000,3475000000
WMT,2015-04-30,USD,114826000000,86483000000,86483000000,28343000000,22663000000,0,22663000000,5680000000,None,None,None,843000000,None,None,None,2319000000,4856000000,1573000000,None,3283000000,None,5680000000,7999000000,3341000000
WMT,2015-01-31,USD,131565000000,99115000000,99115000000,32450000000,22101000000,0,24501000000,7949000000,None,None,None,623000000,None,None,None,2292000000,7363000000,2175000000,None,5188000000,None,7986000000,10278000000,4966000000
WMT,2014-10-31,USD,119001000000,89247000000,89247000000,29754000000,23489000000,0,23489000000,6265000000,None,None,None,676000000,None,None,None,2354000000,5609000000,1783000000,None,3826000000,None,6285000000,8639000000,3711000000
WMT,2014-07-31,USD,120125000000,90010000000,90010000000,30115000000,23375000000,0,23375000000,6740000000,None,None,None,570000000,None,None,None,2277000000,6202000000,2113000000,None,4089000000,None,6772000000,9049000000,4093000000
