symbol,fiscalDateEnding,reportedCurrency,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,grossProfit,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,operatingIncome,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
XOM,2026-03-31,USD,83161000000,51802000000,51802000000,31359000000,2684000000,None,26074000000,5285000000,None,-295000000,None,295000000,None,None,None,6771000000,6967000000,2495000000,None,4472000000,None,3308000000,10079000000,4183000000
XOM,2025-12-31,USD,80039000000,64923000000,64923000000,15116000000,9428000000,None,9113000000,6003000000,None,-163000000,803000000,80000000,None,None,None,7715000000,8031000000,1422000000,None,6609000000,None,8077000000,15792000000,6501000000
XOM,2025-09-30,USD,83331000000,64646000000,64646000000,18685000000,3032000000,None,9507000000,9178000000,None,-90000000,1177000000,207000000,None,None,None,6475000000,10932000000,3164000000,None,7768000000,None,11139000000,17614000000,7548000000
XOM,2025-06-30,USD,79477000000,61530000000,61530000000,17947000000,8785000000,None,9036000000,8911000000,None,-145000000,1317000000,271000000,None,None,None,6101000000,10705000000,3351000000,None,7354000000,None,10850000000,16951000000,7082000000
XOM,2025-03-31,USD,81058000000,62573000000,62573000000,18485000000,2540000000,None,8639000000,9846000000,None,-205000000,1164000000,205000000,None,None,None,5702000000,11600000000,3567000000,None,8033000000,None,11805000000,17507000000,7713000000
XOM,2024-12-31,USD,81058000000,63811000000,63811000000,17247000000,2617000000,None,9474000000,7773000000,None,-297000000,830000000,297000000,None,None,None,6585000000,9813000000,1858000000,None,7955000000,None,10110000000,16695000000,7610000000
XOM,2024-09-30,USD,87792000000,67400000000,67400000000,20392000000,2296000000,None,9350000000,11042000000,None,-207000000,1274000000,207000000,None,None,None,6258000000,13026000000,4055000000,None,8971000000,None,13233000000,19491000000,8610000000
XOM,2024-06-30,USD,89986000000,69790000000,69790000000,20196000000,2568000000,None,9300000000,10896000000,None,-271000000,None,271000000,None,None,None,5787000000,13665000000,4094000000,None,9571000000,None,13936000000,19723000000,9240000000
XOM,2024-03-31,USD,80411000000,61504000000,61504000000,18907000000,2495000000,None,8966000000,9941000000,None,-221000000,None,221000000,None,None,None,4812000000,12369000000,3803000000,None,8566000000,None,12590000000,17402000000,8220000000
XOM,2023-12-31,USD,81688000000,63985000000,63985000000,17703000000,2591000000,879000000,9245000000,8458000000,None,-272000000,None,272000000,None,None,None,7740000000,10625000000,2613000000,None,8012000000,None,10897000000,18637000000,7630000000
XOM,2023-09-30,USD,88570000000,66187000000,66187000000,22383000000,2489000000,None,10539000000,11844000000,None,-169000000,1288000000,169000000,None,None,None,4415000000,13699000000,4353000000,None,9346000000,None,13868000000,18283000000,9070000000
XOM,2023-06-30,USD,80795000000,60700000000,60700000000,20095000000,2449000000,None,10145000000,9950000000,None,-249000000,1133000000,249000000,None,None,None,4242000000,11656000000,3503000000,None,8153000000,None,11905000000,16147000000,7880000000
XOM,2023-03-31,USD,83644000000,59683000000,59683000000,23961000000,2390000000,None,9752000000,14209000000,None,-159000000,2222000000,159000000,None,None,None,4244000000,16803000000,4960000000,None,11843000000,None,16962000000,21206000000,11430000000
XOM,2022-12-31,USD,93164000000,66190000000,66190000000,26974000000,2832000000,824000000,10090000000,16884000000,None,-207000000,398000000,207000000,None,None,None,5064000000,18842000000,5787000000,None,13055000000,None,19049000000,24113000000,12750000000
XOM,2022-09-30,USD,106512000000,77156000000,77156000000,29356000000,2324000000,None,9129000000,20227000000,None,-209000000,4423000000,209000000,None,None,None,5642000000,25422000000,5224000000,None,20198000000,None,25631000000,31273000000,19660000000
XOM,2022-06-30,USD,111265000000,80750000000,80750000000,30515000000,2530000000,None,9684000000,20831000000,None,-194000000,3494000000,194000000,None,None,None,4451000000,24933000000,6359000000,None,18574000000,None,25127000000,29578000000,17850000000
XOM,2022-03-31,USD,87734000000,71512000000,71512000000,16222000000,2409000000,None,10136000000,6086000000,None,-188000000,2350000000,188000000,None,None,None,8883000000,8556000000,2806000000,None,5750000000,None,8744000000,17627000000,5480000000
XOM,2021-12-31,USD,81305000000,61933000000,61933000000,19372000000,2514000000,843000000,10982000000,8390000000,None,-221000000,1857000000,221000000,None,None,None,5661000000,11729000000,2650000000,None,9079000000,None,11950000000,17611000000,8870000000
XOM,2021-09-30,USD,71892000000,53454000000,53454000000,18438000000,2287000000,None,10366000000,8072000000,None,-214000000,1456000000,214000000,None,None,None,4990000000,9606000000,2664000000,None,6942000000,None,9820000000,14810000000,6750000000
XOM,2021-06-30,USD,65943000000,50752000000,50752000000,15191000000,2345000000,None,10267000000,4924000000,None,-254000000,1182000000,254000000,None,None,None,4952000000,6307000000,1526000000,None,4781000000,None,6561000000,11513000000,4690000000
XOM,2021-03-31,USD,57552000000,45667000000,45667000000,11885000000,2428000000,None,9252000000,2633000000,None,-258000000,1215000000,258000000,None,None,None,5004000000,3592000000,796000000,None,2796000000,None,3850000000,8854000000,2730000000
XOM,2020-12-31,USD,45738000000,62332000000,62332000000,-16594000000,2736000000,1016000000,10115000000,-26709000000,None,-313000000,24000000,313000000,None,None,None,30291000000,-26613000000,-6010000000,None,-20603000000,None,-26300000000,3991000000,-20070000000
XOM,2020-09-30,USD,45425000000,36036000000,36036000000,9389000000,2444000000,None,9984000000,-595000000,None,-279000000,238000000,279000000,None,None,None,4983000000,-372000000,337000000,None,-709000000,None,-93000000,4890000000,-680000000
XOM,2020-06-30,USD,32277000000,25880000000,25880000000,6397000000,2409000000,None,7777000000,-1380000000,None,-317000000,214000000,317000000,None,None,None,4916000000,-1640000000,-471000000,None,-1169000000,None,-1323000000,3593000000,-1080000000
XOM,2020-03-31,USD,55134000000,46199000000,46199000000,8935000000,2579000000,None,9699000000,-764000000,None,-249000000,526000000,249000000,None,None,None,5819000000,-258000000,512000000,None,-770000000,None,-9000000,5810000000,-610000000
XOM,2019-12-31,USD,63024000000,49177000000,49177000000,13847000000,3048000000,1214000000,11174000000,2673000000,None,-201000000,976000000,201000000,None,None,None,4923000000,6414000000,684000000,None,5730000000,None,6615000000,11538000000,5690000000
XOM,2019-09-30,USD,63422000000,49011000000,49011000000,14411000000,2753000000,None,10728000000,3683000000,None,-232000000,964000000,232000000,None,None,None,4873000000,4721000000,1474000000,None,3247000000,None,4953000000,9826000000,3170000000
XOM,2019-06-30,USD,67491000000,53095000000,53095000000,14396000000,2827000000,None,10835000000,3561000000,None,-216000000,1143000000,216000000,None,1359000000,None,4631000000,4632000000,1241000000,None,3391000000,None,4848000000,9479000000,3130000000
XOM,2019-03-31,USD,61646000000,48342000000,48342000000,13304000000,2770000000,None,10455000000,2849000000,None,-181000000,1528000000,181000000,None,1709000000,None,4571000000,4289000000,1883000000,None,2406000000,None,4470000000,9041000000,2350000000
XOM,2018-12-31,USD,68253000000,51985000000,51985000000,16268000000,2848000000,1116000000,11241000000,5027000000,None,None,None,215000000,None,1756000000,None,5028000000,8121000000,1915000000,None,6206000000,None,8336000000,13364000000,6000000000
XOM,2018-09-30,USD,74187000000,55531000000,55531000000,18656000000,2892000000,0,11487000000,7169000000,None,None,None,200000000,None,1960000000,None,4658000000,9080000000,2634000000,None,6446000000,None,9280000000,13938000000,6240000000
XOM,2018-06-30,USD,71456000000,54834000000,54834000000,16622000000,2993000000,0,11700000000,4922000000,None,None,None,147000000,None,1729000000,None,4589000000,6512000000,2526000000,None,3986000000,None,6659000000,11248000000,3950000000
XOM,2018-03-31,USD,65436000000,49249000000,49249000000,16187000000,2747000000,0,11181000000,5006000000,None,None,None,204000000,None,1910000000,None,4470000000,7240000000,2457000000,None,4783000000,None,7444000000,11914000000,4650000000
XOM,2017-12-31,USD,50832000000,34821000000,34821000000,16011000000,3004000000,1063000000,14011000000,2000000000,None,None,None,186000000,None,673000000,None,5842000000,3017000000,-5392000000,None,8409000000,None,3203000000,9045000000,8380000000
XOM,2017-09-30,USD,59350000000,44264000000,44264000000,15086000000,2632000000,0,10667000000,4419000000,None,None,None,111000000,None,1472000000,None,4880000000,5583000000,1498000000,None,4085000000,None,5694000000,10574000000,3970000000
XOM,2017-06-30,USD,56026000000,42906000000,42906000000,13120000000,2556000000,0,10438000000,2682000000,None,None,None,158000000,None,1525000000,None,4652000000,4156000000,892000000,None,3264000000,None,4314000000,8966000000,3350000000
XOM,2017-03-31,USD,56474000000,42444000000,42444000000,14030000000,2505000000,0,9790000000,4240000000,None,None,None,146000000,None,1710000000,None,4519000000,5918000000,1828000000,None,4090000000,None,6064000000,10583000000,4010000000
XOM,2016-12-31,USD,58376000000,50400000000,50400000000,7976000000,2824000000,1058000000,9804000000,-1828000000,None,None,None,195000000,None,1328000000,None,8117000000,617000000,-1407000000,None,2024000000,None,812000000,8929000000,1680000000
XOM,2016-09-30,USD,56767000000,45786000000,45786000000,10981000000,2736000000,0,9559000000,1422000000,None,None,None,106000000,None,1103000000,None,4605000000,3226000000,337000000,None,2889000000,None,3332000000,7937000000,2650000000
XOM,2016-06-30,USD,56360000000,45462000000,45462000000,10898000000,2646000000,0,9761000000,1137000000,None,None,None,75000000,None,1124000000,None,4821000000,2396000000,715000000,None,1681000000,None,2471000000,7292000000,1700000000
